section,kind,local,name,line,end_line,span_lines,proof_group,proof_start,proof_end,proof_span_lines,proof_body_lines,proof_body_lines_unique,internal_caller_count,internal_callers,self_ref_count,internal_nonheader_count,interstitial_ref_count,external_confirmed_count,external_confirmed_files,external_bare_candidate_count,reachable_from_confirmed_public,reference_class
Preamble,Definition,False,ident,36,36,1,ident,,,0,0,0,9,check_wf_polyinstr;check_wf_polyinstr_tiling;ctxt_eqb;current_access_transformation_at_preserve_length;current_transformation_at_preserve_length;exact_listzzs_cols_current_access_transformation_at;exact_listzzs_cols_current_transformation_at;forallb_wf_polyprog_correct;permutable_instance_lists_preserve_semantics,1,15,1,1,src/TilingBandScheduleValidator.v,857,True,confirmed-external
Executable validator and witness-aware routes,Fixpoint,False,list_Z_eqb,49,54,6,list_Z_eqb,,,0,0,0,2,affine_expr_eqb;list_Z_eqb_eq,1,4,0,0,,8,True,internal-live
Executable validator and witness-aware routes,Definition,False,affine_expr_eqb,56,59,4,affine_expr_eqb,,,0,0,0,2,affine_expr_eqb_eq;tile_link_eqb,0,3,0,0,,4,True,internal-live
Executable validator and witness-aware routes,Definition,False,tile_link_eqb,61,63,3,tile_link_eqb,,,0,0,0,2,tile_link_eqb_eq;tile_link_list_eqb,0,3,0,0,,4,True,internal-live
Executable validator and witness-aware routes,Fixpoint,False,tile_link_list_eqb,65,70,6,tile_link_list_eqb,,,0,0,0,2,statement_tiling_witness_eqb;tile_link_list_eqb_eq,1,3,0,0,,4,True,internal-live
Executable validator and witness-aware routes,Definition,False,statement_tiling_witness_eqb,72,75,4,statement_tiling_witness_eqb,,,0,0,0,2,point_space_witness_eqb;statement_tiling_witness_eqb_eq,0,3,0,0,,4,True,internal-live
Executable validator and witness-aware routes,Definition,False,point_space_witness_eqb,77,87,11,point_space_witness_eqb,,,0,0,0,4,EqDomInstr;check_wf_polyinstr;check_wf_polyinstr_affine_as_general;point_space_witness_eqb_eq,2,6,0,0,,9,True,internal-live
Executable validator and witness-aware routes,Lemma,False,list_Z_eqb_eq,89,102,14,list_Z_eqb_eq,93,102,10,8,8,1,affine_expr_eqb_eq,0,2,0,0,,3,True,internal-live
Executable validator and witness-aware routes,Lemma,False,affine_expr_eqb_eq,104,118,15,affine_expr_eqb_eq,108,118,11,9,9,1,tile_link_eqb_eq,0,1,0,0,,2,True,internal-live
Executable validator and witness-aware routes,Lemma,False,tile_link_eqb_eq,120,133,14,tile_link_eqb_eq,124,133,10,8,8,1,tile_link_list_eqb_eq,0,1,0,0,,2,True,internal-live
Executable validator and witness-aware routes,Lemma,False,tile_link_list_eqb_eq,135,148,14,tile_link_list_eqb_eq,139,148,10,8,8,1,statement_tiling_witness_eqb_eq,0,1,0,0,,2,True,internal-live
Executable validator and witness-aware routes,Lemma,False,statement_tiling_witness_eqb_eq,150,163,14,statement_tiling_witness_eqb_eq,154,163,10,8,8,1,point_space_witness_eqb_eq,0,1,0,0,,2,True,internal-live
Executable validator and witness-aware routes,Lemma,False,point_space_witness_eqb_eq,165,184,20,point_space_witness_eqb_eq,169,184,16,14,14,2,check_eqdom_pinstr_correct;check_wf_polyinstr_affine_correct,2,4,0,0,,5,True,internal-live
Executable validator and witness-aware routes,Lemma,False,existsb_bool_eta,186,194,9,existsb_bool_eta,189,194,6,4,4,0,,0,0,0,0,,0,False,zero-reference
Executable validator and witness-aware routes,Lemma,True,existsb_access_cols_eta,196,214,19,existsb_access_cols_eta,208,214,7,5,5,1,check_wf_polyinstr_affine_as_general,0,2,0,0,,0,True,internal-live
Executable validator and witness-aware routes,Lemma,True,false_guard_preserves_conjunction,216,224,9,false_guard_preserves_conjunction,221,224,4,2,2,1,check_wf_polyinstr_affine_as_general,0,1,0,0,,0,True,internal-live
Executable validator and witness-aware routes,Definition,False,check_wf_polyinstr,226,273,48,check_wf_polyinstr,,,0,0,0,5,check_wf_polyinstr_affine_as_general;check_wf_polyinstr_affine_correct;check_wf_polyinstr_correct;check_wf_polyprog;check_wf_polyprog_affine_correct,0,6,0,4,src/Extractor.v;src/Validator.v,1,True,confirmed-external
Executable validator and witness-aware routes,Definition,False,check_wf_polyprog,275,280,6,check_wf_polyprog,,,0,0,0,3,check_wf_polyprog_affine_correct;check_wf_polyprog_correct;validate,0,5,0,1,src/Validator.v,17,True,confirmed-external
Executable validator and witness-aware routes,Definition,False,check_wf_polyinstr_tiling,282,320,39,check_wf_polyinstr_tiling,,,0,0,0,6,check_wf_polyinstr_affine_as_general;check_wf_polyinstr_common_correct;check_wf_polyinstr_general;check_wf_polyinstr_tiling_correct;check_wf_polyprog_tiling;check_wf_polyprog_tiling_correct,0,8,0,1,src/Validator.v,1,True,confirmed-external
Executable validator and witness-aware routes,Definition,False,check_wf_polyprog_tiling,322,330,9,check_wf_polyprog_tiling,,,0,0,0,3,check_wf_polyprog_general;check_wf_polyprog_tiling_correct;validate_tiling,0,5,0,1,src/Validator.v,1,True,confirmed-external
Executable validator and witness-aware routes,Definition,False,check_wf_polyinstr_general,334,334,1,check_wf_polyinstr_general,,,0,0,0,0,,0,0,0,1,src/Validator.v,1,True,confirmed-external
