section,kind,local,name,line,end_line,span_lines,proof_group,proof_start,proof_end,proof_span_lines,proof_body_lines,proof_body_lines_unique,internal_dependency_count,internal_dependencies,internal_caller_count,internal_callers,self_ref_count,internal_nonheader_count,interstitial_ref_count,external_confirmed_count,external_confirmed_files,external_bare_candidate_count,reachable_from_confirmed_public,reference_class
"Plans, synthetic views, and semantic relation",Record,False,parallel_plan,38,40,3,parallel_plan,,,0,0,0,1,target_dim,3,check_pprog_parallel_currentb;checked_parallelize_current;target_dim,0,2,0,1,src/Validator.v,7,True,confirmed-external
"Plans, synthetic views, and semantic relation",Projection,False,target_dim,39,40,2,parallel_plan,,,0,0,0,2,parallel_plan;target_dim,5,check_pprog_parallel_currentb;check_pprog_parallel_currentb_sound;check_pprog_parallel_currentb_true_inv;checked_parallelize_current;parallel_plan,0,10,0,2,driver/ParallelPolOpt.v;syntax/SParallelPolOpt.v,0,True,confirmed-external
"Plans, synthetic views, and semantic relation",Record,False,parallel_cert,42,44,3,parallel_cert,,,0,0,0,1,certified_dim,3,certified_dim;checked_parallelize_current;parallel_cert_sound,0,2,0,15,driver/ParallelPolOpt.v;src/ParallelCodegen.v;src/Validator.v;syntax/SParallelPolOpt.v,3,True,confirmed-external
"Plans, synthetic views, and semantic relation",Projection,False,certified_dim,43,44,2,parallel_cert,,,0,0,0,2,certified_dim;parallel_cert,4,checked_parallelize_current;checked_parallelize_current_implies_dim_in_range;parallel_cert;parallel_cert_sound,0,3,0,17,driver/ParallelPolOpt.v;src/ParallelCodegen.v;syntax/SParallelPolOpt.v,0,True,confirmed-external
"Plans, synthetic views, and semantic relation",Definition,False,pprog_pis,46,47,2,pprog_pis,,,0,0,0,0,,8,all_pinstrs_cover_dimb;all_pinstrs_cover_dimb_sound;check_current_view_pprogb;flatten_parallel_new_member_inv;flatten_parallel_old_member_inv;member_parallel_new_timestamp;member_parallel_old_timestamp;parallel_safe_dim,0,11,0,1,src/JamValidator.v,7,True,confirmed-external
"Plans, synthetic views, and semantic relation",Definition,False,pprog_varctxt,49,50,2,pprog_varctxt,,,0,0,0,0,,1,parallel_safe_dim,0,1,0,1,src/JamValidator.v,5,True,confirmed-external
"Plans, synthetic views, and semantic relation",Definition,False,current_coord_schedule_row,52,54,3,current_coord_schedule_row,,,0,0,0,0,,5,affine_product_current_coord_old_schedule;affine_product_current_coord_prefix_schedule;current_coord_old_schedule;current_coord_prefix_schedule;current_coord_schedule_row_cols,0,6,0,1,src/JamValidator.v,6,True,confirmed-external
"Plans, synthetic views, and semantic relation",Definition,False,current_coord_old_schedule,56,58,3,current_coord_old_schedule,,,0,0,0,1,current_coord_schedule_row,3,affine_product_current_coord_old_schedule;exact_listzzs_cols_current_coord_old_schedule;parallel_old_pi,0,4,0,0,,0,True,internal-live
"Plans, synthetic views, and semantic relation",Definition,False,current_coord_prefix_schedule,60,62,3,current_coord_prefix_schedule,,,0,0,0,1,current_coord_schedule_row,3,affine_product_current_coord_prefix_schedule;exact_listzzs_cols_current_coord_prefix_schedule;parallel_new_pi,0,5,0,2,src/JamValidator.v,0,True,confirmed-external
"Plans, synthetic views, and semantic relation",Definition,False,parallel_old_pi,64,77,14,parallel_old_pi,,,0,0,0,1,current_coord_old_schedule,8,check_pprog_parallel_currentb_sound;eqdom_parallel_old_new_pi;eqdom_parallel_old_pi;flatten_parallel_old_member_inv;parallel_old_pprog;rel_list_eqdom_parallel_old;rel_list_eqdom_parallel_old_new;wf_pinstr_affine_parallel_old_pi,0,21,0,0,,0,True,internal-live
