section,kind,local,name,line,end_line,span_lines,proof_group,proof_start,proof_end,proof_span_lines,proof_body_lines,proof_body_lines_unique,internal_caller_count,internal_callers,self_ref_count,internal_nonheader_count,interstitial_ref_count,external_confirmed_count,external_confirmed_files,external_bare_candidate_count,reachable_from_confirmed_public,reference_class
"Representation, OpenScop, and current view",Definition,False,ident,42,42,1,ident,,,0,0,0,18,current_access_transformation_at_preserve_length;current_transformation_at_preserve_length;exact_listzzs_cols_current_access_transformation_at;exact_listzzs_cols_current_transformation_at;exact_listzzs_cols_current_transformation_for_witness;from_openscop_ctxt;from_openscop_iterlist;from_openscop_vars;pi_to_openscop_statement;pi_to_openscop_statement_global;pinstr_current_dim;t;wf_pinstr;wf_pinstr_affine;wf_pinstr_ext;wf_pinstr_ext_affine;wf_pinstr_ext_tiling;wf_pinstr_general,1,25,0,4,src/PrepareCodegen.v;src/TilingBandScheduleValidator.v;src/TilingRelation.v,844,True,confirmed-external
"Representation, OpenScop, and current view",Definition,False,NonAlias,45,45,1,NonAlias,,,0,0,0,6,instance_list_semantics;lex_semantics;semantics;stable_permut'_ext_lists_are_equivalent;stable_permut_ext_lists_are_equivalent;stable_permut_step_ext_lists_are_equivalent,1,7,0,3,src/AffineValidator.v,75,True,confirmed-external
"Representation, OpenScop, and current view",Record,False,PolyInstr,48,58,11,PolyInstr,,,0,0,0,51,belongs_to;belongs_to_current_view_pi_iff;compose_pinstr_ext;compose_pinstrs_ext;current_access_transformation_at;current_access_transformation_at_preserve_length;current_access_transformation_of;current_src_args_at;current_src_args_in_dim;current_src_args_of;current_transformation_at;current_transformation_at_preserve_length;current_transformation_of;current_view_pi;elim_schedule;env_poly_lex_semantics;env_poly_semantics;env_scan;eqdom_pinstr;exact_listzzs_cols_current_access_transformation_at;exact_listzzs_cols_current_transformation_at;flatten_instr_nth;flatten_instr_nth_current_view_iff;flatten_instrs;flatten_instrs_current_view_iff;from_openscop;from_openscop_like_source;from_openscop_schedule_only;keep_schedule_row_at;max_schedule_len;pi_access_transformation;pi_depth;pi_elim_schedule;pi_instr;pi_point_witness;pi_poly;pi_raccess;pi_schedule;pi_to_openscop_statement;pi_to_openscop_statement_global;pi_transformation;pi_waccess;pinstr_current_dim;poly_lex_semantics;poly_semantics;poly_semantics_k;source_like_pi_schedule;t;wf_pinstr;wf_pinstr_affine;wf_pinstr_general,0,43,0,139,polygen/ASTGen.v;src/AffineValidator.v;src/Extractor.v;src/ISSBoolChecker.v;src/ISSCutSemantics.v;src/ISSRefinement.v;src/ISSSemantics.v;src/JamValidator.v;src/ParallelValidator.v;src/PrepareCodegen.v;src/StrengthenDomain.v;src/TilingBandScheduleValidator.v;src/TilingRelation.v;src/TilingValidator.v;syntax/SPolIRs.v,140,True,confirmed-external
"Representation, OpenScop, and current view",Projection,False,pi_depth,49,58,10,PolyInstr,,,0,0,0,43,PolyInstr;belongs_to;belongs_to_current_view_pi_iff;canonicalize_schedule_pprog;compose_pinstr_ext;current_src_args_of_current_view_pi_eq;current_view_pi;dummy_pi;eqdom_pinstr;eqdom_pinstr_implies_flatten_instr_nth_exists;eqdom_pinstr_implies_flatten_same_np_set;flatten_instr_nth;flatten_instr_nth_current_view_iff;flatten_instrs;flatten_instrs_current_view_iff;flatten_instrs_nil_implies_nil;from_openscop;from_openscop_complete;from_openscop_like_source;from_openscop_schedule_only;instance_list_semantics_current_view_iff;keep_schedule_row_at;pi_access_transformation;pi_elim_schedule;pi_instr;pi_point_witness;pi_poly;pi_raccess;pi_schedule;pi_to_openscop_statement;pi_to_openscop_statement_global;pi_transformation;pi_waccess;pinstr_current_dim;source_like_pi_schedule;source_like_schedule_pprog;wf_pil_affine_implies_wf_pil_ext_affine;wf_pil_implies_wf_pil_ext;wf_pinstr;wf_pinstr_affine;wf_pinstr_affine_implies_wf_pinstr_ext_affine;wf_pinstr_implies_wf_pinstr_ext;wf_pinstr_tiling_current_view_affine,0,57,0,328,driver/PolOpt.v;polygen/ASTGen.v;polygen/CodeGen.v;samples/CSample1.v;samples/CSample2.v;samples/CSample3.v;samples/ExtractorSmoke.v;src/AffineValidator.v;src/Extractor.v;src/ISSCutSemantics.v;src/ISSRefinement.v;src/ISSSemantics.v;src/JamValidator.v;src/ParallelValidator.v;src/PrepareCodegen.v;src/StrengthenDomain.v;src/TilingRelation.v;src/TilingValidator.v;syntax/SPolIRs.v,130,True,confirmed-external
"Representation, OpenScop, and current view",Projection,False,pi_instr,50,58,9,PolyInstr,,,0,0,0,28,PolyInstr;belongs_to;canonicalize_schedule_pprog;compose_pinstr_ext;current_view_pi;dummy_pi;eqdom_pinstr;from_openscop;from_openscop_complete;from_openscop_like_source;from_openscop_schedule_only;pi_access_transformation;pi_depth;pi_elim_schedule;pi_point_witness;pi_poly;pi_raccess;pi_schedule;pi_to_openscop_statement;pi_to_openscop_statement_global;pi_transformation;pi_waccess;poly_lex_semantics;poly_lex_semantics_pis_ext_iff;poly_lex_semantics_pis_ext_single;poly_semantics;poly_semantics_k;source_like_schedule_pprog,0,29,0,76,polygen/ASTGen.v;samples/CSample1.v;samples/CSample2.v;samples/CSample3.v;src/AffineValidator.v;src/Extractor.v;src/ISSRefinement.v;src/JamValidator.v;src/ParallelValidator.v;src/PrepareCodegen.v;src/StrengthenDomain.v;src/TilingRelation.v;src/TilingValidator.v;syntax/SPolIRs.v,17,True,confirmed-external
"Representation, OpenScop, and current view",Projection,False,pi_poly,51,58,8,PolyInstr,,,0,0,0,27,PolyInstr;belongs_to;canonicalize_schedule_pprog;compose_pinstr_ext;current_view_pi;dummy_pi;env_scan;eqdom_pinstr;from_openscop;from_openscop_complete;from_openscop_like_source;from_openscop_schedule_only;pi_access_transformation;pi_depth;pi_elim_schedule;pi_elim_schedule_nrl;pi_instr;pi_point_witness;pi_raccess;pi_schedule;pi_to_openscop_statement;pi_to_openscop_statement_global;pi_transformation;pi_waccess;pinstr_current_dim;source_like_schedule_pprog;wf_pinstr,0,30,0,126,polygen/ASTGen.v;polygen/CodeGen.v;samples/CSample1.v;samples/CSample2.v;samples/CSample3.v;samples/ExtractorSmoke.v;src/AffineValidator.v;src/Extractor.v;src/ISSBoolChecker.v;src/ISSRefinement.v;src/ISSSemantics.v;src/JamValidator.v;src/ParallelValidator.v;src/PrepareCodegen.v;src/StrengthenDomain.v;src/TilingRelation.v;src/TilingValidator.v;syntax/SPolIRs.v,18,True,confirmed-external
"Representation, OpenScop, and current view",Projection,False,pi_schedule,52,58,7,PolyInstr,,,0,0,0,39,PolyInstr;belongs_to;canonicalize_schedule_pprog;compose_pinstr_ext;current_view_pi;dummy_pi;eqdom_pinstr_implies_flatten_instr_nth_exists;eqdom_pinstr_implies_flatten_instr_nth_rel;eqdom_pinstr_implies_flatten_instr_nth_retime;eqdom_pinstr_implies_flatten_instr_same_len;eqdom_pinstr_implies_flatten_same_np_set;from_openscop;from_openscop_complete;from_openscop_like_source;from_openscop_schedule_only;keep_schedule_row_at;max_schedule_len;pi_access_transformation;pi_depth;pi_elim_schedule;pi_elim_schedule_nrl;pi_instr;pi_point_witness;pi_poly;pi_raccess;pi_to_openscop_statement;pi_to_openscop_statement_global;pi_transformation;pi_waccess;pinstr_current_dim;poly_elim_schedule_semantics_env_preserve;poly_elim_schedule_semantics_preserve;poly_semantics;poly_semantics_concat;poly_semantics_k;source_like_pi_schedule;source_like_schedule_pprog;to_openscop_global_padded;wf_pinstr,0,53,0,86,polygen/ASTGen.v;polygen/CodeGen.v;samples/CSample1.v;samples/CSample2.v;samples/CSample3.v;samples/ExtractorSmoke.v;src/AffineValidator.v;src/Extractor.v;src/ISSRefinement.v;src/JamValidator.v;src/ParallelValidator.v;src/PrepareCodegen.v;src/StrengthenDomain.v;src/TilingRelation.v;src/TilingValidator.v;syntax/SPolIRs.v,319,True,confirmed-external
"Representation, OpenScop, and current view",Projection,False,pi_point_witness,53,58,6,PolyInstr,,,0,0,0,47,PolyInstr;belongs_to_current_view_pi_iff;canonicalize_schedule_pprog;compose_pinstr_ext;current_access_transformation_at;current_access_transformation_of;current_env_dim_in_dim_pi_elim_schedule;current_src_args_in_dim;current_src_args_in_dim_pi_elim_schedule_resize;current_src_args_of;current_src_args_of_current_view_pi_eq;current_src_args_of_pi_elim_schedule;current_transformation_at;current_transformation_of;current_view_pi;dummy_pi;eqdom_pinstr;exact_listzzs_cols_current_access_transformation_at;exact_listzzs_cols_current_transformation_at;flatten_instr_nth_current_view_iff;flatten_instrs_current_view_iff;from_openscop;from_openscop_complete;from_openscop_like_source;from_openscop_schedule_only;instance_list_semantics_current_view_iff;pi_access_transformation;pi_depth;pi_elim_schedule;pi_instr;pi_poly;pi_raccess;pi_schedule;pi_transformation;pi_waccess;poly_elim_schedule_semantics_env_preserve;poly_elim_schedule_semantics_preserve;poly_lex_semantics_pis_ext_iff;poly_lex_semantics_pis_ext_single;source_like_schedule_pprog;wf_pil_affine_implies_wf_pil_ext_affine;wf_pil_implies_wf_pil_ext;wf_pinstr;wf_pinstr_affine;wf_pinstr_affine_implies_wf_pinstr_ext_affine;wf_pinstr_implies_wf_pinstr_ext;wf_pinstr_tiling_current_view_affine,0,63,0,97,polygen/ASTGen.v;polygen/CodeGen.v;samples/CSample1.v;samples/CSample2.v;samples/CSample3.v;src/AffineValidator.v;src/Extractor.v;src/ISSRefinement.v;src/JamValidator.v;src/ParallelValidator.v;src/PrepareCodegen.v;src/StrengthenDomain.v;src/TilingRelation.v;src/TilingValidator.v;syntax/SPolIRs.v,25,True,confirmed-external
"Representation, OpenScop, and current view",Projection,False,pi_transformation,54,58,5,PolyInstr,,,0,0,0,29,PolyInstr;canonicalize_schedule_pprog;compose_pinstr_ext;current_transformation_at;current_transformation_at_preserve_length;current_view_pi;dummy_pi;eqdom_pinstr;exact_listzzs_cols_current_transformation_at;from_openscop;from_openscop_complete;from_openscop_like_source;from_openscop_schedule_only;pi_access_transformation;pi_depth;pi_elim_schedule;pi_instr;pi_point_witness;pi_poly;pi_raccess;pi_schedule;pi_waccess;poly_lex_semantics_pis_ext_iff;poly_lex_semantics_pis_ext_single;source_like_schedule_pprog;wf_pinstr;wf_pinstr_affine;wf_pinstr_general;wf_pinstr_tiling_current_view_affine,0,31,0,79,polygen/ASTGen.v;samples/CSample1.v;samples/CSample2.v;samples/CSample3.v;samples/ExtractorSmoke.v;src/AffineValidator.v;src/Extractor.v;src/ISSRefinement.v;src/JamValidator.v;src/ParallelValidator.v;src/PrepareCodegen.v;src/StrengthenDomain.v;src/TilingRelation.v;src/TilingValidator.v;syntax/SPolIRs.v,19,True,confirmed-external
"Representation, OpenScop, and current view",Projection,False,pi_access_transformation,55,58,4,PolyInstr,,,0,0,0,26,PolyInstr;canonicalize_schedule_pprog;compose_pinstr_ext;current_access_transformation_at;current_access_transformation_at_preserve_length;current_view_pi;dummy_pi;eqdom_pinstr;exact_listzzs_cols_current_access_transformation_at;from_openscop;from_openscop_complete;from_openscop_like_source;from_openscop_schedule_only;pi_depth;pi_elim_schedule;pi_instr;pi_point_witness;pi_poly;pi_raccess;pi_schedule;pi_transformation;pi_waccess;source_like_schedule_pprog;wf_pinstr;wf_pinstr_affine;wf_pinstr_general,0,24,0,55,polygen/ASTGen.v;samples/CSample1.v;samples/CSample2.v;samples/CSample3.v;src/AffineValidator.v;src/Extractor.v;src/ISSRefinement.v;src/JamValidator.v;src/ParallelValidator.v;src/PrepareCodegen.v;src/StrengthenDomain.v;src/TilingRelation.v;src/TilingValidator.v;syntax/SPolIRs.v,16,True,confirmed-external
