section,kind,local,name,line,end_line,span_lines,proof_group,proof_start,proof_end,proof_span_lines,proof_body_lines,proof_body_lines_unique,internal_dependency_count,internal_dependencies,internal_caller_count,internal_callers,self_ref_count,internal_nonheader_count,interstitial_ref_count,external_confirmed_count,external_confirmed_files,external_bare_candidate_count,reachable_from_confirmed_public,reference_class
Tiling-route primitives,Definition,False,reject_tiling,39,41,3,reject_tiling,,,0,0,0,0,,26,identity_tiling_opt_prepared_from_poly_band;identity_tiling_opt_prepared_from_poly_band_correct;identity_tiling_opt_prepared_from_poly_with_iss_band;identity_tiling_opt_prepared_from_poly_with_iss_band_correct;phase_diamond_opt_prepared_from_poly_no_iss_band;phase_diamond_opt_prepared_from_poly_no_iss_band_correct;phase_diamond_opt_prepared_from_poly_with_iss_band;phase_diamond_opt_prepared_from_poly_with_iss_band_correct;phase_pipeline_opt_prepared_from_poly_no_iss_band;phase_pipeline_opt_prepared_from_poly_no_iss_band_correct;phase_pipeline_opt_prepared_from_poly_with_iss_band;phase_pipeline_opt_prepared_from_poly_with_iss_band_correct;try_checked_iss_identity_tiling_phase_pipeline_from_poly_band;try_checked_iss_identity_tiling_phase_pipeline_from_poly_band_correct;try_diamond_phase_pipeline_from_source_pol_band;try_diamond_phase_pipeline_from_source_pol_band_correct;try_diamond_phase_pipeline_from_source_pol_band_with_iss;try_diamond_phase_pipeline_from_source_pol_band_with_iss_correct;try_identity_phase_pipeline_from_source_pol_band;try_identity_phase_pipeline_from_source_pol_band_correct;try_phase_pipeline_from_source_pol_band;try_phase_pipeline_from_source_pol_band_correct;try_verified_diamond_after_phase_mid_band;try_verified_diamond_after_phase_mid_band_correct;try_verified_tiling_after_phase_mid_band;try_verified_tiling_after_phase_mid_band_correct,0,52,0,2,driver/SBandTilingOptBridge.v,80,True,confirmed-external
Tiling-route primitives,Definition,False,prepared_codegen_after_tiling_route,43,53,11,prepared_codegen_after_tiling_route,,,0,0,0,0,,2,try_verified_diamond_after_phase_mid_band;try_verified_tiling_after_phase_mid_band,0,2,0,1,driver/SBandTilingOptBridge.v,4,True,confirmed-external
Tiling-route primitives,Definition,False,reject_post_tiling_affine,55,65,11,reject_post_tiling_affine,,,0,0,0,0,,2,try_verified_diamond_after_phase_mid_band;try_verified_diamond_after_phase_mid_band_correct,0,6,0,2,driver/SBandTilingOptBridge.v,16,True,confirmed-external
Ordinary and identity pipeline definitions,Definition,False,try_verified_tiling_after_phase_mid_band,67,94,28,try_verified_tiling_after_phase_mid_band,,,0,0,0,2,prepared_codegen_after_tiling_route;reject_tiling,3,try_identity_phase_pipeline_from_source_pol_band;try_phase_pipeline_from_source_pol_band;try_verified_tiling_after_phase_mid_band_correct,0,4,0,2,driver/SBandTilingOptBridge.v,5,True,confirmed-external
Ordinary and identity pipeline definitions,Definition,False,try_phase_pipeline_from_source_pol_band,96,115,20,try_phase_pipeline_from_source_pol_band,,,0,0,0,2,reject_tiling;try_verified_tiling_after_phase_mid_band,3,phase_pipeline_opt_prepared_from_poly_no_iss_band;try_checked_iss_phase_pipeline_from_poly_band;try_phase_pipeline_from_source_pol_band_correct,0,7,0,2,driver/SBandTilingOptBridge.v,10,True,confirmed-external
Ordinary and identity pipeline definitions,Definition,False,try_identity_phase_pipeline_from_source_pol_band,117,136,20,try_identity_phase_pipeline_from_source_pol_band,,,0,0,0,2,reject_tiling;try_verified_tiling_after_phase_mid_band,3,identity_tiling_opt_prepared_from_poly_band;try_checked_iss_identity_tiling_phase_pipeline_from_poly_band;try_identity_phase_pipeline_from_source_pol_band_correct,0,4,0,2,driver/SBandTilingOptBridge.v,5,True,confirmed-external
Diamond and ISS dispatch definitions,Definition,False,try_verified_diamond_after_phase_mid_band,138,180,43,try_verified_diamond_after_phase_mid_band,,,0,0,0,3,prepared_codegen_after_tiling_route;reject_post_tiling_affine;reject_tiling,3,try_diamond_phase_pipeline_from_source_pol_band;try_diamond_phase_pipeline_from_source_pol_band_with_iss;try_verified_diamond_after_phase_mid_band_correct,0,4,0,2,driver/SBandTilingOptBridge.v,5,True,confirmed-external
Diamond and ISS dispatch definitions,Definition,False,try_diamond_phase_pipeline_from_source_pol_band,182,201,20,try_diamond_phase_pipeline_from_source_pol_band,,,0,0,0,2,reject_tiling;try_verified_diamond_after_phase_mid_band,3,phase_diamond_opt_prepared_from_poly_no_iss_band;try_checked_iss_diamond_phase_pipeline_from_poly_band;try_diamond_phase_pipeline_from_source_pol_band_correct,0,6,0,2,driver/SBandTilingOptBridge.v,9,True,confirmed-external
Diamond and ISS dispatch definitions,Definition,False,try_diamond_phase_pipeline_from_source_pol_band_with_iss,203,222,20,try_diamond_phase_pipeline_from_source_pol_band_with_iss,,,0,0,0,2,reject_tiling;try_verified_diamond_after_phase_mid_band,2,try_checked_iss_diamond_phase_pipeline_from_poly_band;try_diamond_phase_pipeline_from_source_pol_band_with_iss_correct,0,3,0,2,driver/SBandTilingOptBridge.v,4,True,confirmed-external
Diamond and ISS dispatch definitions,Definition,False,try_checked_iss_diamond_phase_pipeline_from_poly_band,224,240,17,try_checked_iss_diamond_phase_pipeline_from_poly_band,,,0,0,0,2,try_diamond_phase_pipeline_from_source_pol_band;try_diamond_phase_pipeline_from_source_pol_band_with_iss,2,phase_diamond_opt_prepared_from_poly_with_iss_band;try_checked_iss_diamond_phase_pipeline_from_poly_band_correct,0,3,0,2,driver/SBandTilingOptBridge.v,5,True,confirmed-external
