section,kind,local,name,line,end_line,span_lines,proof_group,proof_start,proof_end,proof_span_lines,proof_body_lines,proof_body_lines_unique,internal_dependency_count,internal_dependencies,internal_caller_count,internal_callers,self_ref_count,internal_nonheader_count,interstitial_ref_count,external_confirmed_count,external_confirmed_files,external_bare_candidate_count,reachable_from_confirmed_public,reference_class
Post-extraction polyhedral correctness,Lemma,False,identity_opt_prepared_from_poly_correct,33,48,16,identity_opt_prepared_from_poly_correct,40,48,9,7,7,0,,1,Identity_opt_prepared_correct,0,1,0,0,,0,True,internal-live
Post-extraction polyhedral correctness,Lemma,False,try_checked_iss_phase_pipeline_from_poly_correct,50,95,46,try_checked_iss_phase_pipeline_from_poly_correct,57,95,39,37,37,0,,1,phase_opt_prepared_from_poly_with_iss_correct,0,1,0,0,,0,False,internal-live
Post-extraction polyhedral correctness,Lemma,False,phase_opt_prepared_from_poly_correct,97,115,19,phase_opt_prepared_from_poly_correct,104,115,12,10,10,0,,1,Opt_prepared_correct,0,1,0,0,,0,False,internal-live
Post-extraction polyhedral correctness,Lemma,False,phase_opt_prepared_from_poly_with_iss_correct,117,134,18,phase_opt_prepared_from_poly_with_iss_correct,124,134,11,9,9,1,try_checked_iss_phase_pipeline_from_poly_correct,1,Opt_prepared_with_iss_correct,0,1,0,0,,0,False,internal-live
Shared strengthen and extractor closure,Lemma,True,finish_strengthened_source_correct,136,158,23,finish_strengthened_source_correct,144,158,15,13,13,0,,5,Affine_opt_prepared_correct;Identity_opt_prepared_correct;Identity_tiling_generic_opt_prepared_correct;Opt_prepared_correct;Opt_prepared_with_iss_correct,0,5,0,0,,7,True,internal-live
Prepared loop-to-loop entry points,Theorem,False,Opt_prepared_correct,160,183,24,Opt_prepared_correct,166,183,18,16,16,2,finish_strengthened_source_correct;phase_opt_prepared_from_poly_correct,1,Opt_correct,0,1,0,0,,0,False,internal-live
Prepared loop-to-loop entry points,Theorem,False,Identity_opt_prepared_correct,185,208,24,Identity_opt_prepared_correct,191,208,18,16,16,2,finish_strengthened_source_correct;identity_opt_prepared_from_poly_correct,0,,0,0,0,2,driver/ExtractedPipelineCorrect.v;driver/VerifiedCompilerConfig.v,0,True,confirmed-external
Prepared loop-to-loop entry points,Theorem,False,Identity_tiling_generic_opt_prepared_correct,210,234,25,Identity_tiling_generic_opt_prepared_correct,216,234,19,17,17,1,finish_strengthened_source_correct,0,,0,0,0,0,,0,False,zero-reference
Prepared loop-to-loop entry points,Theorem,False,Affine_opt_prepared_correct,236,259,24,Affine_opt_prepared_correct,242,259,18,16,16,1,finish_strengthened_source_correct,0,,0,0,0,2,driver/ExtractedPipelineCorrect.v;driver/VerifiedCompilerConfig.v,0,True,confirmed-external
Prepared loop-to-loop entry points,Theorem,False,Opt_prepared_with_iss_correct,261,284,24,Opt_prepared_with_iss_correct,267,284,18,16,16,2,finish_strengthened_source_correct;phase_opt_prepared_from_poly_with_iss_correct,1,Opt_with_iss_correct,0,1,0,0,,0,False,internal-live
Top-level aliases,Theorem,False,Opt_correct,286,294,9,Opt_correct,292,294,3,1,1,1,Opt_prepared_correct,0,,0,0,0,0,,0,False,zero-reference
Top-level aliases,Theorem,False,Opt_with_iss_correct,296,304,9,Opt_with_iss_correct,302,304,3,1,1,1,Opt_prepared_with_iss_correct,0,,0,0,0,0,,0,False,zero-reference
