name,kind,local,start,end,total_lines,proof_start,proof_end,proof_lines,internal_callers_count,internal_callers,deps_count,deps,external_qualified_count,external_qualified_uses,public_root,public_closure,tactics,role,ownership,audit_action,audit_note,repository_reachability
schedule_head_constant,Definition,False,31,37,7,,,0,4,pinstr_head_constant;schedule_head_constant_sound;schedule_head_constant_lift;schedule_head_constant_lift_sound,0,,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",shared phase-schedule support,shared helper below Mixed and PhaseScalar,move/alias,Deduplicate with PhaseScalar; preserve this path through wrappers/aliases.,dependency of external root
pinstr_head_constant,Definition,False,39,41,3,,,0,10,infer_unique_phase_constants;infer_phase_class_entries;constant_schedule_head_value;infer_unique_phase_constants_sound;infer_phase_class_entries_nth_error;infer_phase_class_entries_lengths;unique_phase_schedules_identify_statement;unique_phase_schedules_identify_statement_lifted;mixed_second_level_reversal_same_statement;phase_separated_ordinary_reversal_same_statement,1,schedule_head_constant,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",shared phase-schedule support,shared helper below Mixed and PhaseScalar,move/alias,Deduplicate with PhaseScalar; preserve this path through wrappers/aliases.,dependency of external root
infer_unique_phase_constants,Fixpoint,False,43,58,16,,,0,4,infer_unique_phase_constants;check_unique_phase_constantsb;infer_unique_phase_constants_sound;check_unique_phase_constantsb_sound,2,pinstr_head_constant;infer_unique_phase_constants,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",unique-phase policy/checker,Mixed validator,keep,"Mixed-specific policy; keep public statement, simplify endpoint plumbing where noted.",dependency of external root
z_not_inb,Fixpoint,False,60,64,5,,,0,3,z_not_inb;z_nodupb;z_not_inb_sound,1,z_not_inb,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",generic Boolean Z-list fact,generic list/Z utility,move/alias,Move to a low-level list/Z facts module; keep old name as compatibility alias if needed.,dependency of external root
z_nodupb,Fixpoint,False,66,70,5,,,0,3,z_nodupb;check_unique_phase_constantsb;z_nodupb_sound,2,z_not_inb;z_nodupb,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",generic Boolean Z-list fact,generic list/Z utility,move/alias,Move to a low-level list/Z facts module; keep old name as compatibility alias if needed.,dependency of external root
check_unique_phase_constantsb,Definition,False,72,78,7,,,0,3,check_unique_phase_constantsb_sound;infer_pprog_mixed_second_level_shape;infer_pprog_mixed_second_level_shape_sound,2,infer_unique_phase_constants;z_nodupb,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",unique-phase policy/checker,Mixed validator,keep,"Mixed-specific policy; keep public statement, simplify endpoint plumbing where noted.",dependency of external root
phase_class_entry,Record,False,80,84,5,,,0,5,phase_class_entry_compatibleb;check_phase_class_entry_againstb;check_phase_class_entries_consistentb;infer_phase_class_entries;phase_class_entries_consistent,0,,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",ordinary phase-class policy/checker,Mixed validator,keep,Central active mixed-class policy; factor only repeated endpoint observation plumbing.,dependency of external root
phase_class_entry_compatibleb,Definition,False,86,92,7,,,0,2,check_phase_class_entry_againstb;phase_class_entry_compatibleb_sound,1,phase_class_entry,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",ordinary phase-class policy/checker,Mixed validator,keep,Central active mixed-class policy; factor only repeated endpoint observation plumbing.,dependency of external root
check_phase_class_entry_againstb,Fixpoint,False,94,102,9,,,0,3,check_phase_class_entry_againstb;check_phase_class_entries_consistentb;check_phase_class_entry_againstb_sound,3,phase_class_entry;phase_class_entry_compatibleb;check_phase_class_entry_againstb,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",ordinary phase-class policy/checker,Mixed validator,keep,Central active mixed-class policy; factor only repeated endpoint observation plumbing.,dependency of external root
check_phase_class_entries_consistentb,Fixpoint,False,104,111,8,,,0,3,check_phase_class_entries_consistentb;check_phase_class_consistencyb;check_phase_class_entries_consistentb_sound,3,phase_class_entry;check_phase_class_entry_againstb;check_phase_class_entries_consistentb,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",ordinary phase-class policy/checker,Mixed validator,keep,Central active mixed-class policy; factor only repeated endpoint observation plumbing.,dependency of external root
