Warning: truncated output (original token count: 105285)
Total output lines: 819

kind,name,qualified_name,module_path,section_path,mutual_parent,decl_line,decl_end_line,proof_line,proof_end_line,proof_terminator,proof_span_lines,proof_body_nonblank_lines,internal_dependencies_count,internal_dependencies,internal_callers_count,internal_callers,qualified_external_use_count,qualified_external_uses,confirmed_external_root,reachable_from_any_external_root,runtime_root,reachable_from_runtime_root
Definition,tiling_to_band_pinstr,TilingBandScheduleValidator.tiling_to_band_pinstr,TilingBandScheduleValidator,CommonBandInfrastructure,,54,56,,,,0,0,0,,0,,0,,no,no,no,no
Definition,tiling_to_band_var,TilingBandScheduleValidator.tiling_to_band_var,TilingBandScheduleValidator,CommonBandInfrastructure,,57,61,,,,0,0,0,,1,tiling_to_band_pprog,0,,no,no,no,no
Definition,tiling_to_band_pprog,TilingBandScheduleValidator.tiling_to_band_pprog,TilingBandScheduleValidator,CommonBandInfrastructure,,62,66,,,,0,0,1,tiling_to_band_var,0,,0,,no,no,no,no
Record,pinstr_tiling_band,TilingBandScheduleValidator.pinstr_tiling_band,TilingBandScheduleValidator,CommonBandInfrastructure,,67,71,,,,0,0,0,,115,after_stripmined_band_new_pi;after_stripmined_band_new_pinstrs;after_stripmined_band_new_pprog;band_new_cutoff;check_band_starts_eqb;check_common_band_startb;check_pinstr_list_pluto_componentwise_permutable_bands_direct;check_pinstr_list_pluto_permutable_band_component_via_validate_tiling;check_pinstr_list_pluto_permutable_band_components_from;check_pinstr_list_pluto_permutable_band_components_via_validate_tiling;check_pinstr_list_pluto_permutable_band_direct;check_pinstr_list_pluto_permutable_band_via_validate_tiling;check_pinstr_list_pluto_permutable_band_via_validate_tiling_old;check_pinstr_list_pluto_permutable_bands_component_via_validate_tiling;check_pinstr_list_pluto_permutable_bands_components_from;check_pinstr_list_pluto_permutable_bands_components_via_validate_tiling;check_pinstr_list_second_level_schedule_by_layoutb;check_pinstr_list_second_level_schedule_directb;check_pinstr_list_second_level_schedule_interleavedb;check_pinstr_list_second_level_schedule_stripminedb;check_pinstr_list_second_level_schedule_symmetricb;check_pinstr_list_second_level_schedule_variantb;check_pinstr_list_second_level_schedule_zero_erasureb;check_pinstr_list_single_permutable_tiling_bands_via_validate_tiling;check_pinstr_second_level_schedule_interleaved_normalizedb;check_pinstr_second_level_schedule_interleavedb;check_pinstr_second_level_schedule_stripmined_normalizedb;check_pinstr_second_level_schedule_stripminedb;check_pinstr_second_level_schedule_symmetricb;check_pprog_permutable_tiling_bands_via_validate_tiling;check_pprog_pluto_permutable_tiling_bands_direct;check_pprog_pluto_permutable_tiling_bands_strong_via_validate_tiling;check_pprog_second_level_schedule_directb;check_pprog_second_level_schedule_interleavedb;check_pprog_second_level_schedule_stripminedb;check_pprog_second_level_schedule_symmetricb;check_pprog_statementwise_second_level_scheduleb;common_band_start;common_tiling_band;direct_second_level_guard_test_band;dummy_tiling_band;infer_common_tiling_band;infer_pinstr_list_second_level_bands;infer_pinstr_list_tiling_bands;infer_pinstr_second_level_band;infer_pinstr_tiling_band;infer_pprog_tiling_bands;instr_point_ext_band_block_ts;instr_point_ext_band_component_decreases;instr_point_ext_band_component_decreases_at;instr_point_ext_band_order_lt;instr_point_ext_band_prefix_ts;instr_point_ext_same_band_slice;instr_point_ext_tile_block_ts;make_pluto_band_component_guard_polys;max_band_new_cutoff;max_tiling_band_len;pinstr_tiling_band_cert;pinstr_tiling_band_eqb;pinstr_tiling_band_matches;pprog_permutable_tiling_bands;pprog_pluto_componentwise_permutable_band;pprog_pluto_componentwise_permutable_bands;pprog_pluto_permutable_band;pprog_pluto_permutable_tiling_bands;pprog_pluto_permutable_tiling_bands_strong;pprog_tiling_bands_cert;prioritize_pluto_band_component_or_zero_rows;prioritize_pluto_band_component_or_zero_ts;prioritize_pluto_band_component_rows;prioritize_pluto_band_component_ts;project_band_ip_ext;project_band_pi_ext;project_ip_ext_with_band;project_pinstrs_ext_with_band;project_pinstrs_ext_with_bands;project_pinstrs_ext_with_pluto_band;project_pinstrs_ext_with_pluto_band_component;project_pinstrs_ext_with_pluto_bands_component;project_pinstrs_ext_with_pluto_phased_band;project_pluto_band_component_ip_ext;project_pluto_band_component_pi_ext;project_pluto_band_ip_ext;project_pluto_band_pi_ext;project_pluto_bands_component_ip_ext;project_pluto_bands_component_pi_ext;project_pluto_phased_band_pi_ext;project_pprog_band_ip_ext;rel_list_eqdom_after_stripmined_band_new;rel_list_eqdom_retiled_old_band_old;retiled_old_band_new_pi;retiled_old_band_new_pinstrs;retiled_old_band_new_pprog;retiled_old_band_old_pi;retiled_old_band_old_pinstrs;retiled_old_band_old_pprog;scalar_aware_band;schedule_band_rows;schedule_take_prefix_band;schedule_take_prefix_only;second_level_expected_schedules;second_level_schedule_layout_lex_equivalent;second_level_schedule_zero_erasure_match;stripmine_schedule_after_env;stripmine_second_level_schedule_after_env;stripmine_second_level_schedule_after_env_by_layout;stripmine_second_level_schedule_interleaved_after_env;validate_instr_and_list_pluto_band_component_direct;validate_instr_band_entry_and_list_component_direct;validate_instr_band_entry_list_component_direct;validate_instr_band_entry_list_components_direct_from;validate_instr_list_pluto_band_component_direct;validate_instr_list_pluto_band_components_direct_from;validate_two_instr_band_entries_component_direct;validate_two_instrs_pluto_band_component_direct,7,src/TilingBandMixedSecondValidator.v:45:Core.pinstr_tiling_band;src/TilingBandMixedSecondValidator.v:74:Core.pinstr_tiling_band;src/TilingBandMixedSecondValidator.v:82:Core.pinstr_tiling_band;src/TilingBandMixedSecondValidator.v:115:Core.pinstr_tiling_band;src/TilingBandMixedSecondValidator.v:139:Core.pinstr_tiling_band;src/TilingBandMixedSecondValidator.v:161:Core.pinstr_tiling_band;src/TilingBandMixedSecondValidator.v:2939:Core.pinstr_tiling_band,yes,yes,no,yes
Definition,pinstr_tiling_band_eqb,TilingBandScheduleValidator.pinstr_tiling_band_eqb,TilingBandScheduleValidator,CommonBandInfrastructure,,72,76,,,,0,0,1,pinstr_tiling_band,5,infer_common_tiling_band;infer_common_tiling_band_sound;pinstr_tiling_band_eqb_eq;pinstr_tiling_band_eqb_refl_local;validate_two_instr_band_entries_component_direct,1,src/TilingBandMixedSecondValidator.v:89:Core.pinstr_tiling_band_eqb,yes,yes,no,yes
Lemma,pinstr_tiling_band_eqb_eq,TilingBandScheduleValidator.pinstr_tiling_band_eqb_eq,TilingBandScheduleValidator,CommonBandInfrastructure,,77,91,81,91,Qed,11,9,1,pinstr_tiling_band_eqb,1,infer_common_tiling_band_sound,1,src/TilingBandMixedSecondValidator.v:345:Core.pinstr_tiling_band_eqb_eq,yes,yes,no,yes
Definition,common_tiling_band,TilingBandScheduleValidator.common_tiling_band,TilingBandScheduleValidator,CommonBandInfrastructure,,93,97,,,,0,0,1,pinstr_tiling_band,6,common_tiling_band_nth_error;infer_common_tiling_band_sound;pprog_pluto_permutable_tiling_bands;pprog_pluto_permutable_tiling_bands_intro;pprog_pluto_permutable_tiling_bands_strong;pprog_pluto_permutable_tiling_bands_strong_implies_reordering_safe_if_local_bridge,0,,no,yes,no,yes
Definition,infer_common_tiling_band,TilingBandScheduleValidator.infer_common_tiling_band,TilingBandScheduleValidator,CommonBandInfrastructure,,98,107,,,,0,0,2,pinstr_tiling_band;pinstr_tiling_band_eqb,7,check_pprog_pluto_permutable_tiling_bands_direct;check_pprog_pluto_permutable_tiling_bands_direct_sound_with_env_len;check_pprog_pluto_permutable_tiling_bands_strong_via_validate_tiling;check_pprog_pluto_permutable_tiling_bands_strong_via_validate_tiling_sound_with_env_len;infer_common_tiling_band_sound;pprog_pluto_permutable_tiling_bands_common;pprog_pluto_permutable_tiling_bands_strong_common,0,,no,yes,no,yes
Lemma,infer_common_tiling_band_sound,TilingBandScheduleValidator.infer_common_tiling_band_sound,TilingBandScheduleValidator,CommonBandInfrastructure,,108,124,112,124,Qed,13,11,4,common_tiling_band;infer_common_tiling_band;pinstr_tiling_band_eqb;pinstr_tiling_band_eqb_eq,4,check_pprog_pluto_permutable_tiling_bands_direct_sound_with_env_len;check_pprog_pluto_permutable_tiling_bands_strong_via_validate_tiling_sound_with_env_len;pprog_pluto_permutable_tiling_bands_common;pprog_pluto_permutable_tiling_bands_strong_common,0,,no,yes,no,yes
Lemma,common_tiling_band_nth_error,TilingBandScheduleValidator.common_tiling_band_nth_error,TilingBandScheduleValidator,CommonBandInfrastructure,,126,142,131,142,Qed,12,10,1,common_tiling_band,3,pprog_pluto_permutable_tiling_bands_common;pprog_pluto_permutable_tiling_bands_strong_common;pprog_pluto_permutable_tiling_bands_strong_implies_reordering_safe_wf_with_env_len,0,,no,yes,no,yes
