name,kind,locality,start,end,total_lines,proof_start,proof_end,proof_lines,internal_callers_count,internal_callers,deps_count,deps,external_token_count,external_token_uses,external_qualified_count,external_qualified_uses,globally_unique,global_declarations,repository_root_candidate,repository_closure,tactics,semantic_role,canonical_owner,reachability_assessment,recommended_action,audit_note
InstrPoint,Record,,37,44,8,,,0,11,naive_instr_point;eq_except_sched;instr_point_sema;instr_point_sched_le;instr_point_sched_ltb;instr_point_sched_eqb;instr_point_sched_lt;instr_point_sched_eq;Permutable;instr_point_list_semantics;veq_instance,0,,220,src/TilingValidator.v:106;src/TilingValidator.v:106;src/TilingValidator.v:117;src/TilingValidator.v:117;src/TilingValidator.v:121;src/TilingValidator.v:121;src/TilingValidator.v:132;src/TilingValidator.v:132;src/TilingRelation.v:2242;src/TilingRelation.v:2242;src/TilingRelation.v:2256;src/TilingRelation.v:2256;src/TilingRelation.v:2262;src/TilingRelation.v:2262;src/TilingRelation.v:2276;src/TilingRelation.v:2276;src/TilingRelation.v:2299;src/TilingRelation.v:2299;src/TilingRelation.v:2311;src/TilingRelation.v:2311;src/TilingRelation.v:2318;src/TilingRelation.v:2318;src/TilingRelation.v:2331;src/TilingRelation.v:2331;src/TilingRelation.v:2387;src/TilingRelation.v:2390;src/TilingRelation.v:2395;src/TilingRelation.v:4485;src/TilingRelation.v:4485;src/TilingRelation.v:4510;src/TilingRelation.v:4510;src/TilingRelation.v:4530;src/TilingRelation.v:4530;src/TilingRelation.v:5628;src/TilingRelation.v:5628;src/TilingRelation.v:5643;src/TilingRelation.v:5643;src/TilingRelation.v:5657;src/TilingRelation.v:5676;src/TilingRelation.v:5676;src/TilingRelation.v:5683;src/Extractor.v:1592;src/Extractor.v:1592;src/Extractor.v:2762;src/Extractor.v:3949;src/Extractor.v:4030;src/Extractor.v:4097;src/Extractor.v:4239;src/Extractor.v:4241;src/Extractor.v:4242;...+170,183,src/TilingValidator.v:106;src/TilingValidator.v:106;src/TilingValidator.v:117;src/TilingValidator.v:117;src/TilingValidator.v:121;src/TilingValidator.v:121;src/TilingValidator.v:132;src/TilingValidator.v:132;src/TilingRelation.v:2242;src/TilingRelation.v:2242;src/TilingRelation.v:2256;src/TilingRelation.v:2256;src/TilingRelation.v:2262;src/TilingRelation.v:2262;src/TilingRelation.v:2276;src/TilingRelation.v:2276;src/TilingRelation.v:2299;src/TilingRelation.v:2299;src/TilingRelation.v:2311;src/TilingRelation.v:2311;src/TilingRelation.v:2318;src/TilingRelation.v:2318;src/TilingRelation.v:2331;src/TilingRelation.v:2331;src/TilingRelation.v:2387;src/TilingRelation.v:2390;src/TilingRelation.v:2395;src/TilingRelation.v:4485;src/TilingRelation.v:4485;src/TilingRelation.v:4510;src/TilingRelation.v:4510;src/TilingRelation.v:4530;src/TilingRelation.v:4530;src/TilingRelation.v:5628;src/TilingRelation.v:5628;src/TilingRelation.v:5643;src/TilingRelation.v:5643;src/TilingRelation.v:5657;src/TilingRelation.v:5676;src/TilingRelation.v:5676;src/TilingRelation.v:5683;src/Extractor.v:1592;src/Extractor.v:1592;src/Extractor.v:2762;src/Extractor.v:3949;src/Extractor.v:4030;src/Extractor.v:4097;src/Extractor.v:4239;src/Extractor.v:4241;src/Extractor.v:4242;...+133,False,src/LoopJamTrace.v:16;src/LoopJamNative.v:16;polygen/ParallelLoop.v:28;polygen/InstanceListSema.v:37,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",instruction-point representation and atomic semantics,InstanceListSema.ILSema,explicit qualified external use; unqualified count may include same-name modules,retain in current owner,No duplicate or ownership mismatch identified in this audit.
naive_instr_point,Definition,,46,54,9,,,0,0,,1,InstrPoint,1,polygen/Loop.v:319,1,polygen/Loop.v:319,True,polygen/InstanceListSema.v:46,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",instruction-point representation and atomic semantics,InstanceListSema.ILSema,explicit external token use; declaration name is repository-unique,retain in current owner,No duplicate or ownership mismatch identified in this audit.
eq_except_sched,Definition,,57,62,6,,,0,0,,1,InstrPoint,65,src/TilingBandScheduleValidator.v:859;src/TilingBandScheduleValidator.v:864;src/TilingBandScheduleValidator.v:874;src/TilingBandScheduleValidator.v:879;src/TilingBandScheduleValidator.v:889;src/TilingBandScheduleValidator.v:894;src/TilingBandScheduleValidator.v:904;src/TilingBandScheduleValidator.v:909;src/TilingBandScheduleValidator.v:919;src/TilingBandScheduleValidator.v:920;src/TilingBandScheduleValidator.v:923;src/TilingBandScheduleValidator.v:930;src/TilingBandScheduleValidator.v:935;src/TilingBandScheduleValidator.v:948;src/TilingBandScheduleValidator.v:949;src/TilingBandScheduleValidator.v:1061;src/TilingBandScheduleValidator.v:1066;src/TilingBandScheduleValidator.v:1146;src/TilingBandScheduleValidator.v:1152;src/TilingBandScheduleValidator.v:1237;src/TilingBandScheduleValidator.v:1245;src/TilingBandScheduleValidator.v:1476;src/TilingBandScheduleValidator.v:1484;src/PolyLang.v:1769;src/PolyLang.v:2999;src/PolyLang.v:3002;src/PolyLang.v:3009;src/PolyLang.v:3748;src/PolyLang.v:3763;src/AffineValidator.v:1702;src/AffineValidator.v:1721;src/AffineValidator.v:1732;src/AffineValidator.v:1751;src/AffineValidator.v:1934;src/AffineValidator.v:1954;src/AffineValidator.v:3309;src/AffineValidator.v:3592;src/AffineValidator.v:3595;src/AffineValidator.v:3601;src/AffineValidator.v:3602;src/AffineValidator.v:3603;src/AffineValidator.v:3606;src/AffineValidator.v:3614;src/AffineValidator.v:3619;src/AffineValidator.v:3629;src/AffineValidator.v:3640;src/AffineValidator.v:3707;src/AffineValidator.v:3736;src/AffineValidator.v:3867;src/AffineValidator.v:3889;...+15,60,src/TilingBandScheduleValidator.v:859;src/TilingBandScheduleValidator.v:864;src/TilingBandScheduleValidator.v:874;src/TilingBandScheduleValidator.v:879;src/TilingBandScheduleValidator.v:889;src/TilingBandScheduleValidator.v:894;src/TilingBandScheduleValidator.v:904;src/TilingBandScheduleValidator.v:909;src/TilingBandScheduleValidator.v:919;src/TilingBandScheduleValidator.v:920;src/TilingBandScheduleValidator.v:923;src/TilingBandScheduleValidator.v:930;src/TilingBandScheduleValidator.v:935;src/TilingBandScheduleValidator.v:948;src/TilingBandScheduleValidator.v:949;src/TilingBandScheduleValidator.v:1061;src/TilingBandScheduleValidator.v:1066;src/TilingBandScheduleValidator.v:1146;src/TilingBandScheduleValidator.v:1152;src/TilingBandScheduleValidator.v:1237;src/TilingBandScheduleValidator.v:1245;src/TilingBandScheduleValidator.v:1476;src/TilingBandScheduleValidator.v:1484;src/PolyLang.v:1769;src/AffineValidator.v:1702;src/AffineValidator.v:1721;src/AffineValidator.v:1732;src/AffineValidator.v:1751;src/AffineValidator.v:1934;src/AffineValidator.v:1954;src/AffineValidator.v:3309;src/AffineValidator.v:3592;src/AffineValidator.v:3595;src/AffineValidator.v:3601;src/AffineValidator.v:3602;src/AffineValidator.v:3603;src/AffineValidator.v:3606;src/AffineValidator.v:3614;src/AffineValidator.v:3619;src/AffineValidator.v:3629;src/AffineValidator.v:3640;src/AffineValidator.v:3707;src/AffineValidator.v:3736;src/AffineValidator.v:3867;src/AffineValidator.v:3889;src/AffineValidator.v:4104;src/ParallelValidator.v:145;src/ParallelValidator.v:146;src/ParallelValidator.v:151;src/ParallelValidator.v:170;...+10,False,src/PolyLang.v:1768;polygen/InstanceListSema.v:57,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",instruction-point representation and atomic semantics,InstanceListSema.ILSema,explicit qualified external use; unqualified count may include same-name modules,retain and add laws here,This module owns the relation; add symmetry and atomic-semantics invariance here.
instr_point_sema,Inductive,,64,69,6,,,0,3,instr_point_sema;Permutable;instr_point_list_semantics,2,InstrPoint;instr_point_sema,46,src/TilingValidator.v:333;src/TilingValidator.v:334;src/TilingValidator.v:350;src/TilingValidator.v:351;src/TilingRelation.v:4286;src/TilingRelation.v:4287;src/TilingRelation.v:4460;src/TilingRelation.v:4461;src/TilingRelation.v:4488;src/TilingRelation.v:4489;src/TilingRelation.v:7635;src/TilingRelation.v:7636;src/Extractor.v:4446;src/Extractor.v:4539;src/Extractor.v:4540;src/Extractor.v:4627;src/Extractor.v:4628;src/TilingBandScheduleValidator.v:931;src/TilingBandScheduleValidator.v:932;src/PrepareCodegen.v:555;src/ISSCutSemantics.v:264;src/ISSCutSemantics.v:265;src/PolyLang.v:1804;src/PolyLang.v:1804;src/PolyLang.v:5166;src/PolyLang.v:5167;src/ParallelValidator.v:171;src/ParallelValidator.v:172;src/LoopJamNative.v:68;src/LoopJamNative.v:80;src/LoopJamNative.v:81;src/LoopJamNative.v:101;src/LoopJamNative.v:138;src/ISSSemantics.v:110;src/ISSSemantics.v:111;src/ISSSemantics.v:127;src/ISSSemantics.v:128;src/ISSSemantics.v:137;src/ISSSemantics.v:138;polygen/ParallelLoop.v:479;polygen/ParallelLoop.v:480;polygen/ParallelLoop.v:491;polygen/ParallelLoop.v:511;polygen/ParallelLoop.v:897;polygen/Loop.v:52;polygen/Loop.v:52,42,src/TilingValidator.v:333;src/TilingValidator.v:334;src/TilingValidator.v:350;src/TilingValidator.v:351;src/TilingRelation.v:4286;src/TilingRelation.v:4287;src/TilingRelation.v:4460;src/TilingRelation.v:4461;src/TilingRelation.v:4488;src/TilingRelation.v:4489;src/TilingRelation.v:7635;src/TilingRelation.v:7636;src/Extractor.v:4446;src/Extractor.v:4539;src/Extractor.v:4540;src/Extractor.v:4627;src/Extractor.v:4628;src/TilingBandScheduleValidator.v:931;src/TilingBandScheduleValidator.v:932;src/PrepareCodegen.v:555;src/ISSCutSemantics.v:264;src/ISSCutSemantics.v:265;src/PolyLang.v:1804;src/ParallelValidator.v:171;src/ParallelValidator.v:172;src/LoopJamNative.v:68;src/LoopJamNative.v:80;src/LoopJamNative.v:81;src/LoopJamNative.v:101;src/LoopJamNative.v:138;src/ISSSemantics.v:110;src/ISSSemantics.v:111;src/ISSSemantics.v:127;src/ISSSemantics.v:128;src/ISSSemantics.v:137;src/ISSSemantics.v:138;polygen/ParallelLoop.v:479;polygen/ParallelLoop.v:480;polygen/ParallelLoop.v:491;polygen/ParallelLoop.v:511;polygen/ParallelLoop.v:897;polygen/Loop.v:52,True,polygen/InstanceListSema.v:64,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",instruction-point representation and atomic semantics,InstanceListSema.ILSema,explicit external token use; declaration name is repository-unique,retain and add transport here,Canonical owner for instr_point_sema_eq_except_sched_iff.
instr_point_sched_le,Definition,,71,73,3,,,0,6,instr_point_sched_le_trans;instr_point_sched_le_antisym;strongly_sorted_lists_by_timestamp_equal;Sorted_incl_eq;Sorted_same_ele_nodup_implies_sema_eq;Sorted_same_ele_nodup_implies_sema_eq_stable,1,InstrPoint,107,src/TilingValidator.v:308;src/TilingValidator.v:310;src/TilingValidator.v:313;src/TilingValidator.v:313;src/TilingValidator.v:320;src/TilingValidator.v:321;src/TilingValidator.v:326;src/TilingValidator.v:326;src/TilingRelation.v:3342;src/TilingRelation.v:3343;src/TilingRelation.v:3515;src/TilingRelation.v:3534;src/TilingRelation.v:3535;src/TilingRelation.v:3577;src/TilingRelation.v:3578;src/TilingRelation.v:4156;src/TilingRelation.v:4157;src/TilingRelation.v:4183;src/TilingRelation.v:4201;src/TilingRelation.v:4202;src/TilingRelation.v:4240;src/TilingRelation.v:4241;src/TilingRelation.v:4514;src/TilingRelation.v:4515;src/TilingRelation.v:4523;src/TilingRelation.v:4534;src/TilingRelation.v:4535;src/TilingRelation.v:8056;src/Extractor.v:3825;src/Extractor.v:3828;src/Extractor.v:3844;src/Extractor.v:3924;src/Extractor.v:3927;src/Extractor.v:3939;src/Extractor.v:3941;src/Extractor.v:3950;src/Extractor.v:3983;src/Extractor.v:4031;src/Extractor.v:4032;src/Extractor.v:4052;src/Extractor.v:4088;src/Extractor.v:4134;src/Extractor.v:4231;src/Extractor.v:4366;src/Extractor.v:4403;src/Extractor.v:4556;src/Extractor.v:4557;src/Extractor.v:4560;src/Extractor.v:4644;src/Extractor.v:4645;...+57,97,src/TilingValidator.v:308;src/TilingValidator.v:310;src/TilingValidator.v:313;src/TilingValidator.v:313;src/TilingValidator.v:320;src/TilingValidator.v:321;src/TilingValidator.v:326;src/TilingValidator.v:326;src/TilingRelation.v:3342;src/TilingRelation.v:3343;src/TilingRelation.v:3515;src/TilingRelation.v:3534;src/TilingRelation.v:3535;src/TilingRelation.v:3577;src/TilingRelation.v:3578;src/TilingRelation.v:4156;src/TilingRelation.v:4157;src/TilingRelation.v:4183;src/TilingRelation.v:4201;src/TilingRelation.v:4202;src/TilingRelation.v:4240;src/TilingRelation.v:4241;src/TilingRelation.v:4514;src/TilingRelation.v:4515;src/TilingRelation.v:4523;src/TilingRelation.v:4534;src/TilingRelation.v:4535;src/TilingRelation.v:8056;src/Extractor.v:3825;src/Extractor.v:3828;src/Extractor.v:3844;src/Extractor.v:3924;src/Extractor.v:3927;src/Extractor.v:3939;src/Extractor.v:3941;src/Extractor.v:3950;src/Extractor.v:3983;src/Extractor.v:4031;src/Extractor.v:4032;src/Extractor.v:4052;src/Extractor.v:4088;src/Extractor.v:4134;src/Extractor.v:4231;src/Extractor.v:4366;src/Extractor.v:4403;src/Extractor.v:4556;src/Extractor.v:4557;src/Extractor.v:4560;src/Extractor.v:4644;src/Extractor.v:4645;...+47,False,src/PolyLang.v:1812;polygen/InstanceListSema.v:71,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",timestamp order and semantic permutability,InstanceListSema.ILSema,explicit qualified external use; unqualified count may include same-name modules,retain in current owner,No duplicate or ownership mismatch identified in this audit.
instr_point_sched_le_trans,Lemma,,75,93,19,80,93,14,1,Sorted_incl_eq,1,instr_point_sched_le,2,src/Extractor.v:3944;src/Extractor.v:4037,2,src/Extractor.v:3944;src/Extractor.v:4037,False,src/PolyLang.v:1816;polygen/InstanceListSema.v:75,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 2, ""eapply"": 4, ""eauto"": 4, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 4, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",timestamp order and semantic permutability,InstanceListSema.ILSema,explicit qualified external use; unqualified count may include same-name modules,retain in current owner,No duplicate or ownership mismatch identified in this audit.
instr_point_sched_ltb,Definition,,96,97,2,,,0,1,instr_point_sched_lt,1,InstrPoint,26,src/PrepareCodegen.v:1177;src/PrepareCodegen.v:1196;src/PolyLang.v:1857;src/PolyLang.v:1857;src/PolyLang.v:5269;src/PolyLang.v:5273;src/PolyLang.v:5383;src/PolyLang.v:5387;src/PolyLang.v:5405;src/PolyLang.v:5410;src/PolyLang.v:5431;src/PolyLang.v:5435;src/PolyLang.v:5569;src/PolyLang.v:5574;src/PolyLang.v:5605;src/PolyLang.v:5610;src/PolyLang.v:5644;src/PolyLang.v:5647;src/PolyLang.v:5664;src/PolyLang.v:5677;src/PolyLang.v:5690;src/PolyLang.v:5694;src/PolyLang.v:5714;src/PolyLang.v:5755;src/PolyLang.v:5766;src/PolyLang.v:5813,3,src/PrepareCodegen.v:1177;src/PrepareCodegen.v:1196;src/PolyLang.v:1857,True,polygen/InstanceListSema.v:96,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",timestamp order and semantic permutability,InstanceListSema.ILSema,explicit external token use; declaration name is repository-unique,retain in current owner,No duplicate or ownership mismatch identified in this audit.
instr_point_sched_eqb,Definition,,99,100,2,,,0,3,instr_point_sched_eq;ip_ts_eq;instr_point_sched_le_antisym,1,InstrPoint,29,src/PrepareCodegen.v:1209;src/PolyLang.v:1858;src/PolyLang.v:1858;src/PolyLang.v:5383;src/PolyLang.v:5388;src/PolyLang.v:5405;src/PolyLang.v:5409;src/PolyLang.v:5431;src/PolyLang.v:5436;src/PolyLang.v:5464;src/PolyLang.v:5467;src/PolyLang.v:5484;src/PolyLang.v:5488;src/PolyLang.v:5509;src/PolyLang.v:5513;src/PolyLang.v:5569;src/PolyLang.v:5573;src/PolyLang.v:5605;src/PolyLang.v:5609;src/PolyLang.v:5644;src/PolyLang.v:5647;src/PolyLang.v:5664;src/PolyLang.v:5678;src/PolyLang.v:5702;src/PolyLang.v:5706;src/PolyLang.v:5714;src/PolyLang.v:5755;src/PolyLang.v:5766;src/PolyLang.v:5813,2,src/PrepareCodegen.v:1209;src/PolyLang.v:1858,True,polygen/InstanceListSema.v:99,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",timestamp order and semantic permutability,InstanceListSema.ILSema,explicit external token use; declaration name is repository-unique,retain in current owner,No duplicate or ownership mismatch identified in this audit.
instr_point_sched_lt,Definition,,102,103,2,,,0,0,,2,InstrPoint;instr_point_sched_ltb,0,,0,,True,polygen/InstanceListSema.v:102,False,False,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",timestamp order and semantic permutability,InstanceListSema.ILSema,no current repository token caller or root-closure path; external clients not ruled out,retain in current owner,No duplicate or ownership mismatch identified in this audit.
instr_point_sched_eq,Definition,,105,106,2,,,0,6,ip_ts_eq;instr_point_sched_le_antisym;strongly_sorted_lists_by_timestamp_equal;Sorted_incl_eq;Sorted_same_ele_nodup_implies_sema_eq;Sorted_same_ele_nodup_implies_sema_eq_stable,2,InstrPoint;instr_point_sched_eqb,0,,0,,True,polygen/InstanceListSema.v:105,False,False,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",timestamp order and semantic permutability,InstanceListSema.ILSema,no current repository token caller or root-closure path; external clients not ruled out,retain in current owner,No duplicate or ownership mismatch identified in this audit.
