name,kind,locality,start,end,total_lines,proof_start,proof_end,proof_lines,internal_callers_count,internal_callers,deps_count,deps,external_token_count,external_token_uses,external_qualified_count,external_qualified_uses,globally_unique,global_declarations,repository_root_candidate,repository_closure,tactics,semantic_role,canonical_owner,reachability_assessment,recommended_action,audit_note
is_null,Definition,,40,44,5,,,0,23,is_null;is_eq;is_eq_nil_left;is_eq_nil_right;is_null_eq_compat;is_eq_is_null_left;is_eq_is_null_right;is_null_proper;vector_nth_null;repeat_zero_is_null;dot_product_null_left;dot_product_null_right;mult_vector_null;add_vector_null_left;add_vector_null_right;lex_compare_nil_is_null;is_null_lex_compare_nil;lex_compare_null_left;resize_nil_null;resize_null_repeat;nrlength_zero_null;nrlength_null_zero;nrlength_zero_null_iff,1,is_null,16,src/StrengthenDomain.v:28;src/PolyBase.v:1648;src/PolyBase.v:1767;src/PrepareCodegen.v:60;src/PrepareCodegen.v:234;src/PrepareCodegen.v:497;src/PrepareCodegen.v:861;src/PrepareCodegen.v:862;src/PrepareCodegen.v:1811;src/PolyLang.v:997;src/PolyLang.v:1004;src/PolyLang.v:7031;src/PolyLang.v:7126;src/PolyLang.v:7133;src/CInstr.v:332;src/CInstr.v:594,0,,True,lib/Linalg.v:40,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",vector equality and properness,Linalg,explicit external token use; declaration name is repository-unique,retain in current owner,No duplicate or ownership mismatch identified in this audit.
is_eq,Fixpoint,,45,51,7,,,0,32,is_eq;veq_def;veq;is_eq_veq;is_eq_reflexive;is_eq_commutative;is_eq_nil_left;is_eq_nil_right;is_null_eq_compat;is_eq_is_null_left;is_eq_is_null_right;is_eq_is_eq_left;is_eq_is_eq_right;veq_eq_dec;is_eq_proper;vector_nth_eq;is_eq_app;dot_product_eq_compat_left;dot_product_eq_compat_right;mult_vector_eq_compat;add_vector_null_left;add_vector_null_right;add_vector_eq_compat_left;add_vector_eq_compat_right;constraint_entails;lex_compare_nil_eq;lex_compare_left_eq;lex_compare_right_eq;resize_eq_compat;is_eq_app_left;is_eq_app_right;firstn_eq_implies_resize_n_eq,2,is_null;is_eq,72,lib/Heuristics.v:45;lib/LinalgExt.v:20;src/PolyBase.v:167;src/TilingBandMixedSecondValidator.v:1739;src/TilingBandMixedSecondValidator.v:1750;src/TilingBandMixedSecondValidator.v:2033;src/TilingBandMixedSecondValidator.v:2044;src/TilingBandMixedSecondValidator.v:2646;src/TilingBandMixedSecondValidator.v:2656;src/TilingBandScheduleValidator.v:8138;src/TilingBandScheduleValidator.v:8152;src/TilingBandScheduleValidator.v:16527;src/TilingBandScheduleValidator.v:16528;src/TilingBandScheduleValidator.v:16529;src/TilingBandScheduleValidator.v:16530;src/TilingBandScheduleValidator.v:18369;src/TilingBandScheduleValidator.v:18381;src/TilingBandScheduleValidator.v:18393;src/TilingBandScheduleValidator.v:18428;src/TilingBandScheduleValidator.v:20371;src/TilingBandScheduleValidator.v:20383;src/TilingBandScheduleValidator.v:20503;src/TilingBandScheduleValidator.v:20526;src/TilingBandScheduleValidator.v:25157;src/TilingBandScheduleValidator.v:25174;src/TilingBandScheduleValidator.v:25329;src/TilingBandScheduleValidator.v:26262;src/TilingBandScheduleValidator.v:27174;src/TilingBandScheduleValidator.v:27191;src/TilingBandScheduleValidator.v:27208;src/TilingBandScheduleValidator.v:27223;src/TilingBandScheduleValidator.v:28182;src/TilingBandScheduleValidator.v:28199;src/PrepareCodegen.v:496;src/PrepareCodegen.v:680;src/PrepareCodegen.v:683;src/PrepareCodegen.v:692;src/PrepareCodegen.v:840;src/PrepareCodegen.v:859;src/PrepareCodegen.v:860;src/PrepareCodegen.v:864;src/PrepareCodegen.v:868;src/PrepareCodegen.v:929;src/PrepareCodegen.v:1254;src/PrepareCodegen.v:1281;src/PrepareCodegen.v:1693;src/PrepareCodegen.v:1810;src/TilingBandPhaseScalarValidator.v:668;src/TilingBandPhaseScalarValidator.v:719;src/TilingBandPhaseScalarValidator.v:1405;...+22,0,,True,lib/Linalg.v:45,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",vector equality and properness,Linalg,explicit external token use; declaration name is repository-unique,retain in current owner,No duplicate or ownership mismatch identified in this audit.
veq_def,Lemma,,53,59,7,54,56,3,0,,1,is_eq,0,,0,,True,lib/Linalg.v:53,False,False,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",vector equality and properness,Linalg,no current repository token caller or root-closure path; external clients not ruled out,retain in current owner,No duplicate or ownership mismatch identified in this audit.
veq,Definition,,60,61,2,,,0,19,veq;is_eq_veq;veq_Equiv;veq_eq_dec;is_null_proper;is_eq_proper;cons_proper;veq_implies_rev_veq;app_proper;dot_product_proper;ceq;satisfies_constraint_proper;in_poly_proper;mult_vector_proper;add_vector_proper;lex_compare_proper;affine_product_proper;resize_proper;nrlength_proper,2,is_eq;veq,19,src/PolyBase.v:266;src/PolyBase.v:269;src/PolyBase.v:1895;src/PolyBase.v:1924;src/PolyBase.v:1961;src/PolyLang.v:1535;src/PolyLang.v:1535;src/PolyLang.v:1535;src/PolyLang.v:1552;src/PolyLang.v:1559;src/PolyLang.v:4383;src/CState.v:1442;src/CInstr.v:641;src/CInstr.v:643;src/CInstr.v:657;src/CInstr.v:664;polygen/ASTGen.v:521;polygen/InstanceListSema.v:179;polygen/Projection.v:699,0,,True,lib/Linalg.v:60,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",vector equality and properness,Linalg,explicit external token use; declaration name is repository-unique,retain in current owner,No duplicate or ownership mismatch identified in this audit.
is_eq_veq,Lemma,,63,70,8,65,68,4,28,is_eq_veq;veq_refl;veq_sym;is_null_eq_compat;is_eq_is_eq_left;veq_transitive;is_null_proper;is_eq_proper;cons_proper;vector_nth_veq;same_length_eq;app_proper;dot_product_eq_compat_left;dot_product_proper;mult_vector_eq_compat;mult_vector_proper;add_vector_null_left;add_vector_eq_compat_left;add_vector_proper;lex_compare_nil_eq;lex_compare_left_eq;lex_compare_proper;resize_eq;resize_skipn_eq;resize_eq_compat;resize_proper;nth_eq;nrlength_def,3,is_eq;veq;is_eq_veq,11,src/PrepareCodegen.v:903;src/PrepareCodegen.v:904;src/PrepareCodegen.v:905;src/PrepareCodegen.v:906;src/PrepareCodegen.v:1626;src/PolyLang.v:7177;src/PolyLang.v:7287;src/PolyLang.v:7516;polygen/ASTGen.v:93;polygen/ASTGen.v:103;polygen/Projection.v:699,0,,True,lib/Linalg.v:63,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 1, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 1}",vector equality and properness,Linalg,explicit external token use; declaration name is repository-unique,retain in current owner,No duplicate or ownership mismatch identified in this audit.
is_eq_reflexive,Lemma,,72,78,7,74,77,4,5,is_eq_reflexive;veq_refl;app_proper;add_vector_null_left;add_vector_eq_compat_left,2,is_eq;is_eq_reflexive,13,src/TilingBandScheduleValidator.v:8143;src/PrepareCodegen.v:899;src/PrepareCodegen.v:1622;src/PolyLang.v:7178;src/PolyLang.v:7179;src/PolyLang.v:7180;src/PolyLang.v:7302;src/PolyLang.v:7305;src/PolyLang.v:7442;src/PolyLang.v:7576;src/CInstr.v:672;polygen/ASTGen.v:137;polygen/ASTGen.v:634,0,,True,lib/Linalg.v:72,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 2, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",vector equality and properness,Linalg,explicit external token use; declaration name is repository-unique,retain in current owner,No duplicate or ownership mismatch identified in this audit.
veq_refl,Lemma,,80,84,5,82,84,3,1,veq_Equiv,2,is_eq_veq;is_eq_reflexive,9,src/PolyBase.v:37;src/TilingBandScheduleValidator.v:9119;src/TilingBandScheduleValidator.v:21920;src/CState.v:1309;src/CState.v:1324;src/CInstr.v:687;polygen/InstanceListSema.v:191;syntax/SInstr.v:415;syntax/SInstr.v:582,0,,True,lib/Linalg.v:80,True,True,"{""apply"": 1, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 1, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",vector equality and properness,Linalg,explicit external token use; declaration name is repository-unique,retain in current owner,No duplicate or ownership mismatch identified in this audit.
is_eq_commutative,Lemma,,86,93,8,88,93,6,5,veq_sym;is_eq_is_null_right;is_eq_is_eq_right;add_vector_eq_compat_left;is_eq_app_right,1,is_eq,16,src/TilingBandScheduleValidator.v:8162;src/TilingBandScheduleValidator.v:25341;src/TilingBandScheduleValidator.v:26274;src/TilingBandScheduleValidator.v:27186;src/TilingBandScheduleValidator.v:27203;src/TilingBandScheduleValidator.v:28194;src/TilingBandScheduleValidator.v:28211;src/PrepareCodegen.v:533;src/PrepareCodegen.v:699;src/PrepareCodegen.v:1259;src/PrepareCodegen.v:1620;src/PrepareCodegen.v:1625;src/PolyLang.v:1997;src/PolyLang.v:1999;src/PolyLang.v:4481;src/PolyLang.v:4483,0,,True,lib/Linalg.v:86,True,True,"{""apply"": 1, ""assert"": 0, ""auto"": 3, ""destruct"": 2, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",vector equality and properness,Linalg,explicit external token use; declaration name is repository-unique,retain in current owner,No duplicate or ownership mismatch identified in this audit.
veq_sym,Lemma,,95,100,6,97,100,4,1,veq_Equiv,2,is_eq_veq;is_eq_commutative,18,src/StrengthenDomain.v:250;src/PolyBase.v:52;src/PolyBase.v:277;src/PolyBase.v:280;src/PolyBase.v:290;src/PolyBase.v:294;src/PolyBase.v:299;src/PolyBase.v:309;src/PolyBase.v:312;src/PolyBase.v:1915;src/PolyBase.v:1916;src/PrepareCodegen.v:191;src/PrepareCodegen.v:281;src/PrepareCodegen.v:476;src/PrepareCodegen.v:911;src/CState.v:1882;src/CState.v:1944;syntax/SInstr.v:472,0,,True,lib/Linalg.v:95,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 1, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 2, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",vector equality and properness,Linalg,explicit external token use; declaration name is repository-unique,retain in current owner,No duplicate or ownership mismatch identified in this audit.
is_eq_nil_left,Lemma,,102,106,5,104,106,3,7,is_eq_nil_right;is_eq_is_eq_left;mult_vector_eq_compat;lex_compare_nil_eq;lex_compare_left_eq;resize_eq_compat;nrlength_proper,2,is_null;is_eq,0,,0,,True,lib/Linalg.v:102,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 1, ""destruct"": 1, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",vector equality and properness,Linalg,internal dependency of an externally referenced declaration,retain in current owner,No duplicate or ownership mismatch identified in this audit.
