name,kind,locality,start,end,total_lines,proof_start,proof_end,proof_lines,internal_callers_count,internal_callers,deps_count,deps,external_token_count,external_token_uses,external_qualified_count,external_qualified_uses,globally_unique,global_declarations,repository_root_candidate,repository_closure,tactics,semantic_role,canonical_owner,reachability_assessment,recommended_action,audit_note
nth_error_skipn,Lemma,,25,45,21,27,45,19,2,ij_error_remove_rows;ij_error_remove_cols,0,,1,src/ParallelValidator.v:1097,0,,True,lib/ListExt.v:25,True,True,"{""apply"": 1, ""assert"": 1, ""auto"": 1, ""destruct"": 2, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 6, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 7, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",list lookup/map/combine/repeat extension,ListExt,explicit external token use; declaration name is repository-unique,retain in current owner,No duplicate or ownership mismatch identified in this audit.
nth_error_firstn,Lemma,,47,57,11,50,57,8,0,,0,,0,,0,,True,lib/ListExt.v:47,False,False,"{""apply"": 0, ""assert"": 1, ""auto"": 1, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 3, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 4, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",list lookup/map/combine/repeat extension,ListExt,no current repository token caller or root-closure path; external clients not ruled out,retain in current owner,No duplicate or ownership mismatch identified in this audit.
firstn_in,Lemma,,59,65,7,61,65,5,2,transpose_firstn;transpose_skipn,0,,0,,0,,True,lib/ListExt.v:59,False,False,"{""apply"": 1, ""assert"": 0, ""auto"": 1, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 1, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",list lookup/map/combine/repeat extension,ListExt,no current repository token caller or root-closure path; external clients not ruled out,retain in current owner,No duplicate or ownership mismatch identified in this audit.
skipn_in,Lemma,,67,73,7,69,73,5,2,transpose_firstn;transpose_skipn,0,,0,,0,,True,lib/ListExt.v:67,False,False,"{""apply"": 1, ""assert"": 0, ""auto"": 1, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 1, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",list lookup/map/combine/repeat extension,ListExt,no current repository token caller or root-closure path; external clients not ruled out,retain in current owner,No duplicate or ownership mismatch identified in this audit.
hd_error_skipn,Lemma,,75,83,9,77,83,7,0,,0,,0,,0,,True,lib/ListExt.v:75,False,False,"{""apply"": 0, ""assert"": 0, ""auto"": 3, ""destruct"": 2, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 1, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",list lookup/map/combine/repeat extension,ListExt,no current repository token caller or root-closure path; external clients not ruled out,retain in current owner,No duplicate or ownership mismatch identified in this audit.
hd_error_nth_error,Lemma,,85,89,5,87,89,3,0,,0,,0,,0,,True,lib/ListExt.v:85,False,False,"{""apply"": 0, ""assert"": 0, ""auto"": 1, ""destruct"": 1, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",list lookup/map/combine/repeat extension,ListExt,no current repository token caller or root-closure path; external clients not ruled out,retain in current owner,No duplicate or ownership mismatch identified in this audit.
nth_error_rev,Lemma,,91,103,13,94,103,10,0,,0,,0,,0,,True,lib/ListExt.v:91,False,False,"{""apply"": 1, ""assert"": 0, ""auto"": 3, ""destruct"": 2, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 1, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 3, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",list lookup/map/combine/repeat extension,ListExt,no current repository token caller or root-closure path; external clients not ruled out,retain in current owner,No duplicate or ownership mismatch identified in this audit.
map_id,Lemma,,105,110,6,107,110,4,3,transpose_app;transpose_rev;transpose_firstn,0,,5,lib/Linalg.v:1555;polygen/Canonizer.v:145;polygen/PolyOperations.v:318;polygen/PolyOperations.v:337;polygen/PolyOperations.v:346,0,,True,lib/ListExt.v:105,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 2, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 1, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",list lookup/map/combine/repeat extension,ListExt,explicit external token use; declaration name is repository-unique,retain in current owner,No duplicate or ownership mismatch identified in this audit.
combine_map,Lemma,,112,120,9,114,120,7,1,zipWith_map,0,,0,,0,,True,lib/ListExt.v:112,False,False,"{""apply"": 0, ""assert"": 0, ""auto"": 3, ""destruct"": 1, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 1, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",list lookup/map/combine/repeat extension,ListExt,no current repository token caller or root-closure path; external clients not ruled out,retain in current owner,No duplicate or ownership mismatch identified in this audit.
combine_app,Lemma,,122,133,12,125,133,9,1,combine_rev,0,,0,,0,,True,lib/ListExt.v:122,False,False,"{""apply"": 0, ""assert"": 0, ""auto"": 3, ""destruct"": 2, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 1, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 1, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",list lookup/map/combine/repeat extension,ListExt,no current repository token caller or root-closure path; external clients not ruled out,retain in current owner,No duplicate or ownership mismatch identified in this audit.
