name,kind,locality,start,end,total_lines,proof_start,proof_end,proof_lines,internal_callers_count,internal_callers,deps_count,deps,external_token_count,external_token_uses,external_qualified_count,external_qualified_uses,globally_unique,global_declarations,repository_root_candidate,repository_closure,tactics,semantic_role,canonical_owner,reachability_assessment,recommended_action,audit_note
forallb_map,Lemma,,27,31,5,29,31,3,0,,0,,17,lib/Linalg.v:1563;lib/Linalg.v:1829;src/PolyLang.v:7582;polygen/LoopGen.v:273;polygen/LoopGen.v:338;polygen/LoopGen.v:351;polygen/Canonizer.v:171;polygen/CodeGen.v:124;polygen/Projection.v:183;polygen/Projection.v:202;polygen/Projection.v:256;polygen/Projection.v:256;polygen/Projection.v:260;polygen/Projection.v:264;polygen/Projection.v:499;polygen/Projection.v:502;polygen/Projection.v:505,0,,True,lib/Misc.v:27,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 1, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",low-level list lookup/map/combine,Misc,explicit external token use; declaration name is repository-unique,retain in current owner,No duplicate or ownership mismatch identified in this audit.
forallb_ext,Lemma,,33,37,5,35,37,3,0,,0,,8,lib/Linalg.v:406;lib/Linalg.v:1563;lib/Linalg.v:1829;src/PolyLang.v:7583;polygen/LoopGen.v:273;polygen/Canonizer.v:172;polygen/Canonizer.v:174;polygen/Projection.v:499,0,,True,lib/Misc.v:33,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 1, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",low-level list lookup/map/combine,Misc,explicit external token use; declaration name is repository-unique,retain in current owner,No duplicate or ownership mismatch identified in this audit.
forallb_exists,Lemma,,39,46,8,41,46,6,0,,0,,0,,0,,True,lib/Misc.v:39,False,False,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 1, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 1, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 1, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",low-level list lookup/map/combine,Misc,no current repository token caller or root-closure path; external clients not ruled out,retain in current owner,No duplicate or ownership mismatch identified in this audit.
existsb_forall,Lemma,,48,55,8,50,55,6,0,,0,,7,lib/Linalg.v:1940;src/AffineValidator.v:847;src/AffineValidator.v:864;polygen/PolyOperations.v:156;polygen/PolyOperations.v:202;polygen/PolyOperations.v:224;polygen/PolyOperations.v:245,3,lib/Linalg.v:1940;src/AffineValidator.v:847;src/AffineValidator.v:864,True,lib/Misc.v:48,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 1, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 1, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 1, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",low-level list lookup/map/combine,Misc,explicit external token use; declaration name is repository-unique,retain in current owner,No duplicate or ownership mismatch identified in this audit.
skipn_skipn,Lemma,,57,65,9,59,65,7,0,,0,,15,lib/VplInterface.v:171;src/TilingRelation.v:2717;src/TilingBandMixedSecondValidator.v:1347;src/TilingBandMixedSecondValidator.v:1360;src/TilingBandMixedSecondValidator.v:2585;src/TilingBandMixedSecondValidator.v:2598;src/TilingBandScheduleValidator.v:5049;src/TilingBandScheduleValidator.v:11643;src/TilingBandScheduleValidator.v:11657;src/TilingBandScheduleValidator.v:12472;src/TilingBandScheduleValidator.v:12483;src/PolyLang.v:7180;src/PolyLang.v:7192;polygen/Projection.v:449;polygen/Projection.v:463,0,,True,lib/Misc.v:57,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 3, ""destruct"": 2, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 2, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",low-level list lookup/map/combine,Misc,explicit external token use; declaration name is repository-unique,retain in current owner,No duplicate or ownership mismatch identified in this audit.
skipn_app,Lemma,,67,73,7,69,73,5,0,,0,,16,lib/ListExt.v:714;src/TilingRelation.v:717;src/TilingRelation.v:773;src/TilingRelation.v:3424;src/TilingRelation.v:3503;src/TilingRelation.v:4030;src/TilingRelation.v:4127;src/PointWitness.v:192;src/PointWitness.v:198;src/TilingWitness.v:434;src/PolyLang.v:7214;src/PolyLang.v:7219;src/PolyLang.v:7240;src/PolyLang.v:7592;src/PolyLang.v:7597;src/TilingList.v:15,3,src/PolyLang.v:7214;src/PolyLang.v:7219;src/PolyLang.v:7240,True,lib/Misc.v:67,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 2, ""destruct"": 2, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 2, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",low-level list lookup/map/combine,Misc,explicit external token use; declaration name is repository-unique,retain in current owner,No duplicate or ownership mismatch identified in this audit.
skipn_app_le,Lemma,,75,84,10,77,84,8,0,,0,,16,lib/Linalg.v:1532;lib/Linalg.v:1541;src/TilingRelation.v:715;src/TilingRelation.v:771;src/TilingRelation.v:2660;src/TilingRelation.v:3418;src/TilingRelation.v:3497;src/TilingRelation.v:4026;src/TilingRelation.v:4121;src/TilingRelation.v:5071;src/TilingBandScheduleValidator.v:5133;src/TilingBandScheduleValidator.v:5324;src/TilingBandScheduleValidator.v:17206;src/TilingBandScheduleValidator.v:18924;src/TilingBandScheduleValidator.v:21616;src/TilingBandScheduleValidator.v:25428,0,,True,lib/Misc.v:75,True,True,"{""apply"": 1, ""assert"": 0, ""auto"": 1, ""destruct"": 2, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 2, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",low-level list lookup/map/combine,Misc,explicit external token use; declaration name is repository-unique,retain in current owner,No duplicate or ownership mismatch identified in this audit.
skipn_app_ge,Lemma,,86,92,7,88,92,5,0,,0,,1,lib/Linalg.v:1524,0,,True,lib/Misc.v:86,True,True,"{""apply"": 1, ""assert"": 0, ""auto"": 1, ""destruct"": 1, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 1, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",low-level list lookup/map/combine,Misc,explicit external token use; declaration name is repository-unique,retain in current owner,No duplicate or ownership mismatch identified in this audit.
firstn_nth_app,Lemma,,94,101,8,96,101,6,0,,0,,1,polygen/LoopGen.v:65,0,,True,lib/Misc.v:94,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 1, ""destruct"": 2, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 3, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",low-level list lookup/map/combine,Misc,explicit external token use; declaration name is repository-unique,retain in current owner,No duplicate or ownership mismatch identified in this audit.
map_nth_error_none,Lemma,,103,107,5,105,107,3,0,,0,,6,src/TilingBandScheduleValidator.v:2221;src/TilingBandScheduleValidator.v:2307;src/TilingBandScheduleValidator.v:2400;src/TilingBandScheduleValidator.v:2661;src/PrepareCodegen.v:1113;src/PolyLang.v:7451,0,,True,lib/Misc.v:103,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 1, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 2, ""ring"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",low-level list lookup/map/combine,Misc,explicit external token use; declaration name is repository-unique,retain in current owner,No duplicate or ownership mismatch identified in this audit.
