section,kind,local,name,line,end_line,span_lines,proof_group,proof_start,proof_end,proof_span_lines,proof_body_lines,proof_body_lines_unique,internal_dependency_count,internal_dependencies,internal_caller_count,internal_callers,self_ref_count,internal_nonheader_count,interstitial_ref_count,external_confirmed_count,external_confirmed_files,external_bare_candidate_count,reachable_from_confirmed_public,reference_class
Declarations,Definition,False,apply_total,42,44,3,apply_total,,,0,0,0,0,,0,,0,1,1,0,,0,False,internal-live
Declarations,Definition,False,apply_partial,46,49,4,apply_partial,,,0,0,0,0,,0,,0,1,1,0,,0,False,internal-live
Declarations,Definition,False,apply_partial_res,51,54,4,apply_partial_res,,,0,0,0,0,,0,,0,1,1,0,,0,False,internal-live
Declarations,Definition,False,print,67,68,2,print,,,0,0,0,0,,0,,0,0,0,5,driver/ParallelPolOpt.v;extraction/extraction.v;syntax/SBandTilingOpt.v;syntax/SParallelPolOpt.v;syntax/STilingBandSched.v,0,True,confirmed-external
Declarations,Definition,False,time,75,75,1,time,,,0,0,0,0,,0,,0,0,0,1,extraction/extraction.v,0,True,confirmed-external
Declarations,Definition,False,affine_scheduler,96,96,1,affine_scheduler,,,0,0,0,0,,3,checked_affine_schedule;scheduler'_correct;scheduler'_preserve_wf,1,4,0,0,,5,True,internal-live
Declarations,Definition,False,scheduler,97,144,48,scheduler,,,0,0,0,1,checked_affine_schedule,0,,0,1,1,0,,10,False,internal-live
Declarations,Definition,False,export_for_phase_scheduler,98,99,2,export_for_phase_scheduler,,,0,0,0,0,,6,identity_tiling_generic_opt_prepared_from_poly;identity_tiling_generic_opt_prepared_from_poly_correct;identity_tiling_generic_opt_prepared_from_poly_with_iss;phase_pipeline_opt_prepared_from_poly_no_iss;phase_pipeline_opt_prepared_from_poly_with_iss;try_checked_iss_identity_tiling_generic_phase_pipeline_from_poly,1,7,0,70,driver/ParallelPolOpt.v;driver/ParallelPolOptCorrect.v;driver/PolOptBandTiling.v;driver/PolOptCanonicalTiling.v;driver/PolOptCorrect.v;driver/PolOptIdentityGenericISS.v;driver/SBandTilingOptBridge.v;driver/SParallelPolOptBridge.v;syntax/SBandTilingOpt.v;syntax/SParallelPolOpt.v,15,True,confirmed-external
Declarations,Definition,False,run_pluto_phase_pipeline,100,101,2,run_pluto_phase_pipeline,,,0,0,0,0,,2,phase_pipeline_opt_prepared_from_poly_no_iss;try_checked_iss_phase_pipeline_from_poly,1,5,0,19,driver/ParallelPolOpt.v;driver/PolOptBandTiling.v;driver/PolOptCanonicalTiling.v;driver/SBandTilingOptBridge.v;syntax/SBandTilingOpt.v;syntax/SParallelPolOpt.v,5,True,confirmed-external
Declarations,Definition,False,run_pluto_identity_tiling_pipeline,102,103,2,run_pluto_identity_tiling_pipeline,,,0,0,0,0,,2,identity_tiling_generic_opt_prepared_from_poly;try_checked_iss_identity_tiling_generic_phase_pipeline_from_poly,1,3,0,11,driver/ParallelPolOpt.v;driver/ParallelPolOptCorrect.v;driver/PolOptBandTiling.v;driver/PolOptIdentityGenericISS.v;driver/SParallelPolOptBridge.v;syntax/SBandTilingOpt.v;syntax/SParallelPolOpt.v,5,True,confirmed-external
