section,kind,local,name,line,end_line,span_lines,proof_group,proof_start,proof_end,proof_span_lines,proof_body_lines,proof_body_lines_unique,internal_dependency_count,internal_dependencies,internal_caller_count,internal_callers,self_ref_count,internal_nonheader_count,interstitial_ref_count,external_confirmed_count,external_confirmed_files,external_bare_candidate_count,reachable_from_confirmed_public,reference_class
Preparation definitions,Definition,False,resize_affine,36,38,3,resize_affine,,,0,0,0,0,,2,resize_affine_list;resize_affine_satisfies_constraint,0,3,0,0,,0,True,internal-live
Preparation definitions,Definition,False,resize_affine_list,40,41,2,resize_affine_list,,,0,0,0,1,resize_affine,9,encode_depth_in_domain;encode_depth_in_domain_from_source;encode_depth_in_domain_in_poly;prepare_pi;prepare_pi_current_src_args_in_dim_affine;resize_access;resize_affine_affine_product;resize_affine_list_exact_cols;resize_affine_list_in_poly,0,22,0,0,,0,True,internal-live
Preparation definitions,Definition,False,resize_access,43,45,3,resize_access,,,0,0,0,1,resize_affine_list,1,resize_access_list,0,1,0,0,,0,True,internal-live
Preparation definitions,Definition,False,resize_access_list,47,48,2,resize_access_list,,,0,0,0,1,resize_access,2,prepare_pi;resize_access_list_exact_cols,0,4,0,0,,0,True,internal-live
Preparation definitions,Definition,False,source_cols,50,51,2,source_cols,,,0,0,0,0,,2,prepare_pi_pinstr_current_dim_ge_source_cols;wf_pinstr_affine_implies_pinstr_current_dim_eq_source_cols,0,4,0,0,,0,True,internal-live
Preparation definitions,Definition,False,codegen_target_dim,53,55,3,codegen_target_dim,,,0,0,0,0,,13,codegen_ready_pprog;codegen_ready_pprog_implies_pprog_current_dim_eq_target;codegen_wf_pprog;prepare_codegen;prepare_codegen_current_dim_ge_original;prepare_codegen_current_dim_le_target;prepare_codegen_preserve_ctxt_vars;prepare_codegen_preserves_ready_at;prepare_codegen_preserves_wf_at;prepare_codegen_semantics_correct;prepare_codegen_target_dim_preserved;prepared_codegen_raw_correct;wf_pprog_affine_implies_pprog_current_dim_le_target,0,25,0,0,,3,True,internal-live
Preparation definitions,Definition,False,depth_tail_zero,57,60,4,depth_tail_zero,,,0,0,0,0,,2,codegen_ready_pi;prepare_codegen_preserves_ready_at,0,2,0,0,,0,True,internal-live
Preparation definitions,Definition,False,codegen_ready_pi,62,69,8,codegen_ready_pi,,,0,0,0,1,depth_tail_zero,2,codegen_ready_pprog_at;prepare_codegen_preserves_ready_at,0,2,0,0,,0,True,internal-live
Preparation definitions,Definition,False,codegen_ready_pprog_at,71,74,4,codegen_ready_pprog_at,,,0,0,0,1,codegen_ready_pi,3,codegen_ready_pprog;prepare_codegen_preserves_ready_at;prepare_codegen_preserves_wf_at,0,4,0,0,,0,True,internal-live
Preparation definitions,Definition,False,codegen_ready_pprog,76,77,2,codegen_ready_pprog,,,0,0,0,2,codegen_ready_pprog_at;codegen_target_dim,3,codegen_ready_pprog_implies_pprog_current_dim_eq_target;prepare_codegen_semantics_correct;prepared_codegen_raw_correct,0,6,0,0,,0,True,internal-live
Preparation definitions,Definition,False,codegen_wf_pprog_at,79,83,5,codegen_wf_pprog_at,,,0,0,0,0,,2,codegen_wf_pprog;prepare_codegen_preserves_wf_at,0,3,0,0,,0,True,internal-live
