section,kind,local,name,line,end_line,span_lines,proof_group,proof_start,proof_end,proof_span_lines,proof_body_lines,proof_body_lines_unique,internal_dependency_count,internal_dependencies,internal_caller_count,internal_callers,self_ref_count,internal_nonheader_count,interstitial_ref_count,external_confirmed_count,external_confirmed_files,external_bare_candidate_count,reachable_from_confirmed_public,reference_class
Declarations,Lemma,False,impeq_refl,21,24,4,impeq_refl,22,24,3,1,1,0,,18,opt_diamond_impeq_generic;opt_diamond_with_iss_impeq_generic;opt_identity_tiled_impeq_generic;opt_identity_tiled_with_iss_impeq_generic;opt_impeq_generic;opt_with_iss_impeq_generic;prepared_codegen_after_tiling_route_impeq;reject_post_tiling_affine_impeq_generic;reject_tiling_impeq_generic;try_checked_iss_diamond_phase_pipeline_from_poly_band_impeq_generic;try_checked_iss_identity_tiling_phase_pipeline_from_poly_band_impeq_generic;try_checked_iss_phase_pipeline_from_poly_band_impeq_generic;try_diamond_phase_pipeline_from_source_pol_band_impeq_generic;try_diamond_phase_pipeline_from_source_pol_band_with_iss_impeq_generic;try_identity_phase_pipeline_from_source_pol_band_impeq_generic;try_phase_pipeline_from_source_pol_band_impeq_generic;try_verified_diamond_after_phase_mid_band_impeq_generic;try_verified_tiling_after_phase_mid_band_impeq_generic,0,27,0,0,,0,True,internal-live
Declarations,Lemma,False,reject_tiling_impeq_generic,26,34,9,reject_tiling_impeq_generic,30,34,5,3,3,1,impeq_refl,13,identity_tiling_opt_prepared_from_poly_with_iss_band_impeq_generic;opt_identity_tiled_from_poly_impeq_generic;phase_diamond_opt_prepared_from_poly_no_iss_band_impeq_generic;phase_diamond_opt_prepared_from_poly_with_iss_band_impeq_generic;phase_pipeline_opt_prepared_from_poly_no_iss_band_impeq_generic;phase_pipeline_opt_prepared_from_poly_with_iss_band_impeq_generic;try_checked_iss_identity_tiling_phase_pipeline_from_poly_band_impeq_generic;try_diamond_phase_pipeline_from_source_pol_band_impeq_generic;try_diamond_phase_pipeline_from_source_pol_band_with_iss_impeq_generic;try_identity_phase_pipeline_from_source_pol_band_impeq_generic;try_phase_pipeline_from_source_pol_band_impeq_generic;try_verified_diamond_after_phase_mid_band_impeq_generic;try_verified_tiling_after_phase_mid_band_impeq_generic,0,33,0,0,,0,True,internal-live
Declarations,Lemma,False,prepared_codegen_after_tiling_route_impeq,36,46,11,prepared_codegen_after_tiling_route_impeq,43,46,4,2,2,1,impeq_refl,0,,0,0,0,0,,0,False,zero-reference
Declarations,Lemma,False,reject_post_tiling_affine_impeq_generic,48,58,11,reject_post_tiling_affine_impeq_generic,53,58,6,4,4,1,impeq_refl,0,,0,0,0,0,,0,False,zero-reference
Declarations,Lemma,False,try_verified_tiling_after_phase_mid_band_impeq_generic,60,96,37,try_verified_tiling_after_phase_mid_band_impeq_generic,67,96,30,28,28,2,impeq_refl;reject_tiling_impeq_generic,2,try_identity_phase_pipeline_from_source_pol_band_impeq_generic;try_phase_pipeline_from_source_pol_band_impeq_generic,0,2,0,0,,0,True,internal-live
Declarations,Lemma,False,try_verified_diamond_after_phase_mid_band_impeq_generic,98,142,45,try_verified_diamond_after_phase_mid_band_impeq_generic,105,142,38,36,36,2,impeq_refl;reject_tiling_impeq_generic,2,try_diamond_phase_pipeline_from_source_pol_band_impeq_generic;try_diamond_phase_pipeline_from_source_pol_band_with_iss_impeq_generic,0,2,0,0,,0,True,internal-live
Declarations,Lemma,False,try_phase_pipeline_from_source_pol_band_impeq_generic,144,166,23,try_phase_pipeline_from_source_pol_band_impeq_generic,151,166,16,14,14,3,impeq_refl;reject_tiling_impeq_generic;try_verified_tiling_after_phase_mid_band_impeq_generic,2,phase_pipeline_opt_prepared_from_poly_no_iss_band_impeq_generic;try_checked_iss_phase_pipeline_from_poly_band_impeq_generic,0,6,0,0,,0,True,internal-live
Declarations,Lemma,False,try_identity_phase_pipeline_from_source_pol_band_impeq_generic,168,190,23,try_identity_phase_pipeline_from_source_pol_band_impeq_generic,175,190,16,14,14,3,impeq_refl;reject_tiling_impeq_generic;try_verified_tiling_after_phase_mid_band_impeq_generic,2,opt_identity_tiled_from_poly_impeq_generic;try_checked_iss_identity_tiling_phase_pipeline_from_poly_band_impeq_generic,0,2,0,0,,0,True,internal-live
Declarations,Lemma,False,try_diamond_phase_pipeline_from_source_pol_band_impeq_generic,192,214,23,try_diamond_phase_pipeline_from_source_pol_band_impeq_generic,199,214,16,14,14,3,impeq_refl;reject_tiling_impeq_generic;try_verified_diamond_after_phase_mid_band_impeq_generic,2,phase_diamond_opt_prepared_from_poly_no_iss_band_impeq_generic;try_checked_iss_diamond_phase_pipeline_from_poly_band_impeq_generic,0,5,0,0,,0,True,internal-live
Declarations,Lemma,False,try_diamond_phase_pipeline_from_source_pol_band_with_iss_impeq_generic,216,241,26,try_diamond_phase_pipeline_from_source_pol_band_with_iss_impeq_generic,224,241,18,16,16,3,impeq_refl;reject_tiling_impeq_generic;try_verified_diamond_after_phase_mid_band_impeq_generic,1,try_checked_iss_diamond_phase_pipeline_from_poly_band_impeq_generic,0,1,0,0,,0,True,internal-live
Declarations,Lemma,False,try_checked_iss_phase_pipeline_from_poly_band_impeq_generic,243,268,26,try_checked_iss_phase_pipeline_from_poly_band_impeq_generic,250,268,19,17,17,2,impeq_refl;try_phase_pipeline_from_source_pol_band_impeq_generic,1,phase_pipeline_opt_prepared_from_poly_with_iss_band_impeq_generic,0,1,0,0,,0,True,internal-live
Declarations,Lemma,False,phase_pipeline_opt_prepared_from_poly_no_iss_band_impeq_generic,270,290,21,phase_pipeline_opt_prepared_from_poly_no_iss_band_impeq_generic,282,290,9,7,7,2,reject_tiling_impeq_generic;try_phase_pipeline_from_source_pol_band_impeq_generic,1,opt_impeq_generic,0,1,0,0,,0,True,internal-live
Declarations,Lemma,False,phase_pipeline_opt_prepared_from_poly_with_iss_band_impeq_generic,292,312,21,phase_pipeline_opt_prepared_from_poly_with_iss_band_impeq_generic,304,312,9,7,7,2,reject_tiling_impeq_generic;try_checked_iss_phase_pipeline_from_poly_band_impeq_generic,1,opt_with_iss_impeq_generic,0,1,0,0,,0,True,internal-live
