scope,name,kind,start,end,total_lines,proof_start,proof_end,proof_lines,internal_callers_count,internal_callers,deps_count,deps,external_qualified_count,external_qualified_uses,public_root,public_closure,role,canonical_owner,audit_action,audit_note,repository_reachability
api,tiling_band_validation_route,Inductive,16,18,3,,,0,2,tiling_band_validation_route_acceptsb;checked_tiling_schedule_sourceb_first_runtime_validate_route,0,,0,,True,True,sealed runtime API contract,DirectRuntime API,keep,"The module type intentionally exposes only route, acceptance predicate, validator, and correctness theorem.",module-type field
api,tiling_band_validation_route_acceptsb,Definition,20,25,6,,,0,1,checked_tiling_schedule_sourceb_first_runtime_validate_route_correct,1,tiling_band_validation_route,0,,True,True,sealed runtime API contract,DirectRuntime API,keep,"The module type intentionally exposes only route, acceptance predicate, validator, and correctness theorem.",module-type field
api,checked_tiling_schedule_sourceb_first_runtime_validate_route,Parameter,27,31,5,,,0,1,checked_tiling_schedule_sourceb_first_runtime_validate_route_correct,1,tiling_band_validation_route,0,,True,True,sealed runtime API contract,DirectRuntime API,keep,"The module type intentionally exposes only route, acceptance predicate, validator, and correctness theorem.",module-type field
api,checked_tiling_schedule_sourceb_first_runtime_validate_route_correct,Parameter,33,45,13,,,0,0,,2,tiling_band_validation_route_acceptsb;checked_tiling_schedule_sourceb_first_runtime_validate_route,0,,True,True,sealed runtime API contract,DirectRuntime API,keep,"The module type intentionally exposes only route, acceptance predicate, validator, and correctness theorem.",module-type field
implementation,tiling_band_validation_route,Inductive,66,68,3,,,0,2,tiling_band_validation_route_acceptsb;checked_tiling_schedule_sourceb_first_direct_runtime_validate_route,0,,14,syntax/STilingBandSched.v:29;driver/PolOptBandTiling.v:47;driver/PolOptBandTiling.v:59;driver/PolOptBandTiling.v:83;driver/PolOptBandTiling.v:154;driver/PolOptBandTiling.v:442;driver/PolOptBandTiling.v:943;driver/ParallelPolOpt.v:149;driver/ParallelPolOpt.v:159;driver/ParallelPolOpt.v:169;driver/ParallelPolOpt.v:194;driver/ParallelPolOpt.v:268;driver/ParallelPolOptCorrect.v:149;driver/ParallelPolOptCorrect.v:386,True,True,runtime route representation,DirectRuntime public API implementation,keep,Concrete implementation of the sealed route type and acceptance predicate.,qualified external root
implementation,tiling_band_validation_route_acceptsb,Definition,70,75,6,,,0,1,checked_tiling_schedule_sourceb_first_direct_runtime_validate_route_correct,1,tiling_band_validation_route,1,syntax/STilingBandSched.v:15,True,True,runtime route representation,DirectRuntime public API implementation,keep,Concrete implementation of the sealed route type and acceptance predicate.,qualified external root
implementation,checked_tiling_sourceb_first_direct_band_check,Definition,81,105,25,,,0,3,checked_tiling_sourceb_complete_direct_band_check;checked_tiling_sourceb_first_direct_band_check_sourceb_true;checked_tiling_sourceb_first_direct_band_check_correct,0,,0,,False,True,fail-closed direct dispatcher,DirectRuntime,keep; add route table comment,"Orders ordinary, second-level, phase, scalar-aware, semantic, and mixed direct checkers.",dependency of public route
implementation,checked_tiling_sourceb_complete_direct_band_check,Definition,110,139,30,,,0,4,checked_tiling_sourceb_complete_direct_band_check_sourceb_true;checked_tiling_sourceb_complete_direct_band_check_correct;checked_tiling_sourceb_complete_direct_band_check_outer_correct;checked_tiling_schedule_sourceb_first_direct_runtime_validate_route,1,checked_tiling_sourceb_first_direct_band_check,1,syntax/STilingBandSched.v:22,True,True,fail-closed direct dispatcher,DirectRuntime,keep; add route table comment,"Orders ordinary, second-level, phase, scalar-aware, semantic, and mixed direct checkers.",qualified external root
implementation,checked_tiling_sourceb_first_direct_band_check_sourceb_true,Lemma,141,160,20,147,160,14,1,checked_tiling_sourceb_complete_direct_band_check_sourceb_true,1,checked_tiling_sourceb_first_direct_band_check,0,,False,True,dispatcher source-boundary inversion,DirectRuntime,factor only after route abstraction,Mirrors all dispatcher branches to recover the common structural source check.,dependency of public route
implementation,checked_tiling_sourceb_complete_direct_band_check_sourceb_true,Lemma,162,222,61,168,222,55,1,checked_tiling_sourceb_complete_direct_band_check_outer_correct,2,checked_tiling_sourceb_complete_direct_band_check;checked_tiling_sourceb_first_direct_band_check_sourceb_true,0,,False,True,dispatcher source-boundary inversion,DirectRuntime,factor only after route abstraction,Mirrors all dispatcher branches to recover the common structural source check.,dependency of public route
