name,kind,local,start,end,total_lines,proof_start,proof_end,proof_lines,internal_callers_count,internal_callers,deps_count,deps,external_qualified_count,external_qualified_uses,public_root,public_closure,tactics,scope,role,canonical_owner,audit_action,audit_note,repository_reachability
schedule_head_constant,Definition,False,34,40,7,,,0,4,pinstr_head_constant;schedule_head_constant_sound;schedule_head_constant_lift;schedule_head_constant_lift_sound,0,,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",TilingBandPhaseScalarValidator,constant phase schedule facts,shared phase-schedule support below Mixed and PhaseScalar,move/compatibility wrapper,Exact duplicate of the Mixed validator block; canonicalize below both functors and retain this path.,dependency of external root
pinstr_head_constant,Definition,False,42,44,3,,,0,4,phase_scalar_entry_shape;infer_phase_scalar_shape_entries;infer_phase_scalar_shape_entries_sound;phase_scalar_entry_shape_head,1,schedule_head_constant,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",TilingBandPhaseScalarValidator,constant phase schedule facts,shared phase-schedule support below Mixed and PhaseScalar,move/compatibility wrapper,Exact duplicate of the Mixed validator block; canonicalize below both functors and retain this path.,dependency of external root
phase_scalar_entry,Record,False,46,51,6,,,0,9,phase_scalar_entry_compatibleb;check_phase_scalar_entry_againstb;check_phase_scalar_entries_consistentb;phase_scalar_entries_consistent;phase_scalar_entry_shape;phase_scalar_shape_entries;infer_phase_scalar_shape_entries;infer_pprog_phase_scalar_shape;phase_scalar_layouts,0,,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",TilingBandPhaseScalarValidator,phase-scalar shape inference and soundness,PhaseScalar validator,keep/factor locally,"Defines the phase-class metadata, shape recognizer, consistency policy, and Boolean-to-Prop soundness chain.",dependency of external root
identity_phase_scalar_layout,Definition,False,53,56,4,,,0,1,infer_phase_scalar_shape_entries,0,,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",TilingBandPhaseScalarValidator,phase-scalar shape inference and soundness,PhaseScalar validator,keep/factor locally,"Defines the phase-class metadata, shape recognizer, consistency policy, and Boolean-to-Prop soundness chain.",dependency of external root
phase_scalar_entry_compatibleb,Definition,False,58,67,10,,,0,2,check_phase_scalar_entry_againstb;phase_scalar_entry_compatibleb_sound,1,phase_scalar_entry,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",TilingBandPhaseScalarValidator,phase-scalar shape inference and soundness,PhaseScalar validator,keep/factor locally,"Defines the phase-class metadata, shape recognizer, consistency policy, and Boolean-to-Prop soundness chain.",dependency of external root
check_phase_scalar_entry_againstb,Fixpoint,False,69,77,9,,,0,3,check_phase_scalar_entry_againstb;check_phase_scalar_entries_consistentb;check_phase_scalar_entry_againstb_sound,3,phase_scalar_entry;phase_scalar_entry_compatibleb;check_phase_scalar_entry_againstb,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",TilingBandPhaseScalarValidator,phase-scalar shape inference and soundness,PhaseScalar validator,keep/factor locally,"Defines the phase-class metadata, shape recognizer, consistency policy, and Boolean-to-Prop soundness chain.",dependency of external root
check_phase_scalar_entries_consistentb,Fixpoint,False,79,86,8,,,0,4,check_phase_scalar_entries_consistentb;infer_pprog_phase_scalar_shape;check_phase_scalar_entries_consistentb_sound;infer_pprog_phase_scalar_shape_sound,3,phase_scalar_entry;check_phase_scalar_entry_againstb;check_phase_scalar_entries_consistentb,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",TilingBandPhaseScalarValidator,phase-scalar shape inference and soundness,PhaseScalar validator,keep/factor locally,"Defines the phase-class metadata, shape recognizer, consistency policy, and Boolean-to-Prop soundness chain.",dependency of external root
phase_scalar_entries_consistent,Definition,False,88,97,10,,,0,3,check_phase_scalar_entries_consistentb_sound;infer_pprog_phase_scalar_shape_sound;phase_scalar_reversal_same_class,1,phase_scalar_entry,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",TilingBandPhaseScalarValidator,phase-scalar shape inference and soundness,PhaseScalar validator,keep/factor locally,"Defines the phase-class metadata, shape recognizer, consistency policy, and Boolean-to-Prop soundness chain.",dependency of external root
phase_scalar_entry_shape,Inductive,False,99,121,23,,,0,7,phase_scalar_entry_shape;phase_scalar_shape_entries;phase_scalar_shape_entries_nth_error;phase_scalar_entry_shape_head;phase_scalar_entry_shape_tiled_inv;phase_scalar_entry_target_phase_decomposition;phase_scalar_identity_entry_timestamp_eq,3,pinstr_head_constant;phase_scalar_entry;phase_scalar_entry_shape,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",TilingBandPhaseScalarValidator,phase-scalar shape inference and soundness,PhaseScalar validator,keep/factor locally,"Defines the phase-class metadata, shape recognizer, consistency policy, and Boolean-to-Prop soundness chain.",dependency of external root
phase_scalar_shape_entries,Inductive,False,123,142,20,,,0,6,phase_scalar_shape_entries;infer_phase_scalar_shape_entries_sound;phase_scalar_shape_entries_lengths;phase_scalar_shape_entries_nth_error;infer_pprog_phase_scalar_shape_sound;phase_scalar_reversal_same_class,3,phase_scalar_entry;phase_scalar_entry_shape;phase_scalar_shape_entries,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",TilingBandPhaseScalarValidator,phase-scalar shape inference and soundness,PhaseScalar validator,keep/factor locally,"Defines the phase-class metadata, shape recognizer, consistency policy, and Boolean-to-Prop soundness chain.",dependency of external root
