source_file,kind,name,section,start_line,end_line,span,proof_start,proof_end,proof_span,proof_body_nonblank,terminal,internal_callees,internal_callers,qualified_external_use_count,qualified_external_locations,unique_unqualified_external_use_count,unique_unqualified_external_locations,reachable_from_external_entry,"responsibility","external_status","assessment","priority","rewrite_risk","recommendation"
"src/TilingCanonicalScheduleValidator.v","Definition","check_pinstr_tiling_schedule_canonicalb","canonical schedule booleans","26","34","9","","","0","0","definition","","check_pinstr_list_tiling_schedule_canonicalb;check_pinstr_tiling_schedule_canonicalb_sound;retiled_old_pinstr_eq_of_structure_and_schedule","0","","0","","yes","canonical schedule booleans","internal on a repository-consumed path","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingCanonicalScheduleValidator.v","Fixpoint","check_pinstr_list_tiling_schedule_canonicalb","canonical schedule booleans","36","46","11","","","0","0","definition","check_pinstr_tiling_schedule_canonicalb","check_pprog_tiling_schedule_canonicalb;retiled_old_pinstr_list_eq_of_structure_and_schedule","0","","0","","yes","canonical schedule booleans","internal on a repository-consumed path","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingCanonicalScheduleValidator.v","Definition","check_pprog_tiling_schedule_canonicalb","canonical schedule booleans","48","56","9","","","0","0","definition","check_pinstr_list_tiling_schedule_canonicalb","check_pprog_tiling_schedule_canonicalb_sound;checked_tiling_schedule_canonical_validate","0","","0","","yes","canonical schedule booleans","internal on a repository-consumed path","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingCanonicalScheduleValidator.v","Lemma","check_pinstr_tiling_schedule_canonicalb_sound","schedule equality bridge","58","70","13","65","70","6","4","Qed","check_pinstr_tiling_schedule_canonicalb","retiled_old_pinstr_eq_of_structure_and_schedule","0","","0","","yes","schedule equality bridge","internal on a repository-consumed path","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingCanonicalScheduleValidator.v","Lemma","retiled_old_pinstr_eq_of_structure_and_schedule","schedule equality bridge","72","96","25","78","96","19","17","Qed","check_pinstr_tiling_schedule_canonicalb;check_pinstr_tiling_schedule_canonicalb_sound","retiled_old_pinstr_list_eq_of_structure_and_schedule","0","","0","","yes","schedule equality bridge","internal on a repository-consumed path","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingCanonicalScheduleValidator.v","Lemma","retiled_old_pinstr_list_eq_of_structure_and_schedule","schedule equality bridge","98","125","28","107","125","19","17","Qed","check_pinstr_list_tiling_schedule_canonicalb;retiled_old_pinstr_eq_of_structure_and_schedule","check_pprog_tiling_schedule_canonicalb_sound","0","","0","","yes","schedule equality bridge","internal on a repository-consumed path","parallel-list proof uses a destruct-product branch matrix","P1","low","drive induction from the relation or Forall2 evidence and name the three aligned heads"
"src/TilingCanonicalScheduleValidator.v","Lemma","compiled_pinstr_tiling_witness_Forall2","schedule equality bridge","127","135","9","133","135","3","1","Qed","","check_pprog_tiling_schedule_canonicalb_sound","0","","0","","yes","schedule equality bridge","internal on a repository-consumed path","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingCanonicalScheduleValidator.v","Lemma","check_pprog_tiling_schedule_canonicalb_sound","schedule equality bridge","137","176","40","146","176","31","29","Qed","check_pprog_tiling_schedule_canonicalb;compiled_pinstr_tiling_witness_Forall2;retiled_old_pinstr_list_eq_of_structure_and_schedule","checked_tiling_schedule_canonical_validate_correct","0","","0","","yes","schedule equality bridge","internal on a repository-consumed path","composition proof repeats structural-checker elimination","P0","low","add an internal declarative helper that derives retiled_old program equality from an already obtained structure relation and schedule check; keep this public wrapper and type unchanged"
"src/TilingCanonicalScheduleValidator.v","Definition","checked_tiling_schedule_canonical_validate","checked canonical API","178","183","6","","","0","0","definition","check_pprog_tiling_schedule_canonicalb","checked_tiling_schedule_canonical_validate_correct;checked_tiling_schedule_canonical_validate_outer","0","","0","","yes","checked canonical API","internal on a repository-consumed path","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingCanonicalScheduleValidator.v","Definition","checked_tiling_schedule_canonical_validate_outer","checked canonical API","185","191","7","","","0","0","definition","checked_tiling_schedule_canonical_validate","checked_tiling_schedule_canonical_validate_outer_correct;checked_tiling_schedule_canonical_validate_poly","0","","0","","yes","checked canonical API","internal on a repository-consumed path","cohesive and proportionate","keep","none","no structural change recommended"
